,F10_T1,F1_T1,F2_T1,F3_T1,F4_T1,F5_T1,F6_T1,F7_T1,F8_T1,F9_T1,F10_T2,F1_T2,F2_T2,F3_T2,F4_T2,F5_T2,F6_T2,F7_T2,F8_T2,F9_T2,F10_T3,F1_T3,F2_T3,F3_T3,F4_T3,F5_T3,F6_T3,F8_T3,F9_T3,S10_T1,S1_T1,S2_T1,S3_T1,S4_T1,S5_T1,S6_T1,S7_T1,S8_T1,S9_T1,S10_T2,S1_T2,S2_T2,S3_T2,S4_T2,S5_T2,S6_T2,S7_T2,S8_T2,S9_T2,S10_T3,S1_T3,S3_T3,S4_T3,S5_T3,S6_T3,S7_T3,S8_T3,S9_T3,Spring_Female_1,Spring_Female_2,Spring_Female_3,Spring_Female_4,Fall_Female_2,Fall_Female_3,Fall_Female_4
S3_T1,0.028878773,0.012392256,0.025791993,0.03983937,0.03422623,0.029445893,0.029805469,0.029374072,0.03306035,0.031519349,0.029194044,0.009381701,0.022951656,0.027357547,0.017111467,0.0276036,0.028487917,0.031542105,0.033155416,0.031961495,0.025147086,0.012189946,0.020305111,0.027404898,0.016786079,0.02548111,0.028955981,0.031392086,0.03167089,0.005307231,0.005143117,0.006196273,NA,0.010056812,0.034848725,0.007589529,0.006283159,0.00868011,0.003630985,0.005242608,0.005980542,0.006094657,0.027184149,0.006723279,0.007478465,0.004815481,0.004071154,0.007438011,0.004483053,0.006749987,0.008091359,0.006423637,0.016390369,0.008521005,0.00677708,0.005588611,0.006888191,0.005970295,0.011192187,0.013853874,0.012192178,0.012974639,0.037252263,0.037511201,0.036773642
S4_T1,0.025011519,0.011563891,0.022593813,0.036575023,0.03159845,0.025784394,0.026272601,0.025266435,0.02893918,0.0281313,0.02538957,0.010690039,0.020582173,0.02412214,0.015653286,0.024494896,0.024953055,0.027746564,0.028756059,0.028145384,0.022219776,0.012831084,0.018528804,0.023678063,0.015464205,0.022683384,0.025042462,0.027024884,0.027862667,0.008964864,0.012553202,0.009943491,0.010056812,NA,0.046771291,0.012849068,0.009189432,0.011615296,0.008944538,0.0101536,0.011860383,0.008443617,0.024763659,0.012455886,0.011146623,0.011184661,0.008935097,0.011035594,0.010798722,0.010035449,0.011976194,0.010835833,0.014645224,0.013386251,0.013109211,0.010796953,0.009435974,0.010416961,0.014918357,0.018778518,0.016222174,0.016875118,0.03309199,0.03310491,0.032848556
S5_T1,0.054711657,0.041891842,0.052365165,0.064927316,0.058270013,0.055090973,0.053685491,0.054699045,0.058191231,0.057377887,0.05467295,0.03567296,0.049026628,0.053059396,0.043778446,0.052988531,0.053839478,0.057093471,0.057181331,0.057421942,0.05026892,0.037906338,0.046827125,0.053193278,0.043881761,0.051958578,0.05461935,0.056276375,0.057709945,0.034473729,0.032087548,0.033729575,0.034848725,0.046771291,NA,0.04374372,0.036488503,0.037127453,0.032791547,0.034132462,0.034274865,0.035242483,0.050431064,0.037037349,0.032746988,0.035597116,0.03320787,0.036790819,0.033712879,0.034010275,0.03353278,0.037253931,0.044651618,0.037010084,0.037469552,0.034890972,0.041273285,0.037147064,0.0446427,0.047912001,0.046602485,0.047828344,0.062730361,0.062418872,0.06234083
S6_T1,0.035896052,0.015051939,0.032634516,0.046719094,0.040974927,0.036628774,0.036838101,0.036603148,0.040316277,0.039165528,0.036281173,0.013518788,0.029726565,0.034592345,0.023160247,0.034867779,0.035817179,0.039133613,0.040297871,0.039452101,0.032140237,0.01751594,0.026269833,0.034766875,0.022553631,0.032085672,0.036128668,0.038391076,0.039201145,0.00420001,0.008177329,0.008808312,0.007589529,0.012849068,0.04374372,NA,0.005292693,0.0109757,0.006431529,0.005920319,0.008848726,0.007651169,0.03273265,0.008026073,0.010121385,0.003603781,0.004086671,0.007053945,0.006948076,0.008367854,0.01072332,0.012079512,0.018829722,0.010831595,0.005445628,0.007094046,0.008616377,0.008969859,0.010489481,0.011932328,0.010490449,0.010051,0.044671637,0.044920142,0.04424292
S7_T1,0.029660487,0.011084278,0.026831371,0.040254119,0.034191198,0.030587918,0.03065048,0.030341053,0.034271141,0.032948602,0.030080821,0.009774686,0.023638528,0.028349191,0.017402784,0.028466622,0.029519828,0.032854493,0.03400813,0.033177065,0.026030733,0.012709901,0.020420089,0.028483518,0.017254917,0.026291357,0.029925432,0.032049271,0.032954967,0.003808539,0.003986371,0.004763743,0.006283159,0.009189432,0.036488503,0.005292693,NA,0.008527528,0.003693634,0.002825157,0.006819582,0.005655336,0.027307782,0.004776237,0.007969578,0.003235886,0.001126417,0.005949851,0.00377407,0.004652691,0.007795376,0.007243305,0.015617846,0.006931951,0.005470773,0.003339449,0.006483195,0.007138885,0.008143025,0.010917899,0.007974146,0.008776498,0.038391785,0.038610264,0.037895778
S8_T1,0.029284214,0.014070843,0.02701212,0.040424464,0.03398136,0.030116219,0.030456962,0.029858572,0.033638389,0.032452643,0.029797761,0.011363934,0.024274077,0.028080016,0.018612829,0.028573792,0.029512912,0.032388862,0.033427499,0.032860362,0.025665955,0.014304283,0.020795365,0.028229819,0.018359734,0.02656446,0.029693153,0.031671879,0.032515656,0.008683391,0.009285935,0.008556973,0.00868011,0.011615296,0.037127453,0.0109757,0.008527528,NA,0.005610085,0.008725399,0.010011912,0.008534303,0.027290587,0.011099883,0.008462156,0.008314909,0.005877029,0.005583201,0.008505054,0.010999593,0.011167057,0.012426531,0.01838591,0.011918346,0.010329508,0.007553928,0.007827663,0.008735883,0.011074801,0.015017195,0.013128494,0.013867468,0.037917748,0.038114331,0.03760209
S9_T1,0.027305092,0.010642087,0.024709801,0.038204661,0.033007405,0.028242545,0.028391607,0.028023178,0.031709966,0.030608323,0.027860426,0.007739187,0.02159937,0.025989708,0.015307091,0.026380529,0.027417564,0.030569653,0.031581972,0.030834076,0.023418688,0.010587626,0.018083822,0.025956831,0.014903685,0.023836394,0.027594772,0.029619822,0.030624086,0.003172848,0.002777444,0.003769297,0.003630985,0.008944538,0.032791547,0.006431529,0.003693634,0.005610085,NA,0.002279552,0.005386927,0.004203777,0.024618088,0.003303721,0.005271058,0.00257724,0.001785535,0.004430959,0.002500169,0.004711129,0.006906167,0.005880426,0.015417193,0.005376629,0.005014384,0.003053889,0.004709681,0.003101196,0.00811456,0.011188346,0.00860855,0.010081059,0.036109536,0.036270413,0.035662667
S10_T2,0.023329589,0.007420398,0.020943394,0.033442074,0.028059414,0.024126937,0.024293267,0.023939455,0.027618569,0.026571631,0.023580461,0.00552802,0.017867233,0.021893934,0.012123454,0.022209633,0.023266203,0.026139931,0.027506729,0.026660842,0.019791596,0.008571165,0.01522202,0.022158798,0.012080858,0.020189228,0.023720354,0.025777183,0.026599916,0.001627474,0.00228663,0.003173637,0.005242608,0.0101536,0.034132462,0.005920319,0.002825157,0.008725399,0.002279552,NA,0.003989223,0.004128755,0.021409196,0.00226035,0.004371897,0.002950231,0.001543011,0.005978608,0.002844364,0.003151209,0.004929199,0.004690125,0.011759116,0.007317308,0.00452245,0.002888936,0.006712727,0.005016325,0.00885746,0.012864935,0.009887514,0.011405546,0.031389454,0.031672592,0.030925508
S1_T2,0.021832905,0.007522853,0.020033489,0.032518604,0.027194157,0.022288164,0.023157143,0.022315535,0.02601157,0.024964428,0.02231918,0.005932438,0.017400156,0.020668882,0.011784741,0.02076458,0.021999092,0.024477752,0.025848734,0.025237818,0.018832726,0.007264966,0.015366926,0.021093163,0.011591481,0.019440599,0.022254527,0.02402138,0.025071213,0.005915066,0.00390519,0.003862247,0.005980542,0.011860383,0.034274865,0.008848726,0.006819582,0.010011912,0.005386927,0.003989223,NA,0.004515407,0.020299135,0.005453908,0.00440147,0.007087745,0.004851275,0.008515614,0.004584527,0.007096423,0.003028729,0.005549494,0.012219108,0.010524475,0.008617555,0.005664701,0.00945581,0.008732345,0.01379055,0.017536657,0.016136227,0.017396229,0.029931574,0.030067439,0.029239668
S2_T2,0.021039698,0.006408548,0.019213618,0.031637603,0.028132345,0.021548141,0.021973555,0.021411087,0.025095136,0.024183259,0.021455343,0.00481703,0.015884946,0.019772987,0.011451393,0.020165998,0.021056869,0.023894229,0.025049038,0.024436016,0.017899665,0.005912139,0.013901224,0.020069216,0.010492836,0.018199442,0.021228467,0.022999803,0.024281907,0.004970225,0.006904297,0.00258797,0.006094657,0.008443617,0.035242483,0.007651169,0.005655336,0.008534303,0.004203777,0.004128755,0.004515407,NA,0.019273332,0.004991331,0.004693581,0.005771312,0.004132703,0.006058047,0.003626735,0.004544324,0.005233761,0.006458098,0.010005316,0.006383046,0.008558293,0.004321396,0.005017058,0.005377638,0.011659329,0.014053718,0.012782966,0.013789637,0.029445918,0.029520721,0.028948885
S3_T2,0.00883991,0.009366988,0.009092605,0.019307049,0.019441764,0.008861625,0.009904768,0.008846969,0.012119839,0.011703032,0.009446163,0.009574043,0.007980573,0.008446421,0.008303142,0.009757877,0.009664586,0.011366827,0.011844977,0.011668734,0.007424377,0.010532586,0.009377557,0.009348781,0.007813691,0.009591921,0.009604216,0.010807323,0.011613857,0.021154321,0.025911722,0.017790983,0.027184149,0.024763659,0.050431064,0.03273265,0.027307782,0.027290587,0.024618088,0.021409196,0.020299135,0.019273332,NA,0.025019794,0.015278623,0.032404818,0.024206146,0.026680681,0.025540454,0.025686498,0.019210897,0.021228804,0.010896773,0.033508755,0.033557877,0.023912541,0.030045071,0.029248055,0.040294117,0.04623369,0.042414212,0.043347887,0.016422544,0.016599561,0.016252016
S4_T2,0.027853195,0.010428812,0.02534175,0.038670841,0.033791929,0.028708845,0.028895651,0.028542753,0.032290027,0.031349097,0.02830972,0.008382763,0.021952624,0.026377445,0.015464665,0.026828448,0.027956617,0.031127548,0.032156306,0.031539489,0.024173559,0.010628604,0.019060034,0.026587829,0.01502277,0.024349327,0.028086674,0.030204907,0.031256439,0.005009579,0.003822341,0.004121048,0.006723279,0.012455886,0.037037349,0.008026073,0.004776237,0.011099883,0.003303721,0.00226035,0.005453908,0.004991331,0.025019794,NA,0.007773424,0.004412269,0.003977816,0.008525377,0.003629708,0.005259928,0.007076889,0.005691221,0.015724379,0.005039429,0.00673408,0.005035472,0.00721719,0.005835466,0.00954338,0.01278833,0.010366186,0.012019859,0.036604637,0.036931237,0.036154112
S5_T2,0.018294829,0.005826618,0.016777157,0.029013955,0.022302488,0.01901086,0.019293078,0.01884813,0.022376136,0.02154257,0.018650821,0.004305109,0.014157081,0.017301622,0.009596737,0.017684306,0.018510587,0.021052883,0.022197852,0.021632962,0.015347852,0.006284106,0.012684843,0.017660513,0.009497502,0.016129569,0.018804515,0.020716174,0.021565665,0.005455053,0.005029656,0.003932166,0.007478465,0.011146623,0.032746988,0.010121385,0.007969578,0.008462156,0.005271058,0.004371897,0.00440147,0.004693581,0.015278623,0.007773424,NA,0.008598644,0.00529155,0.007580866,0.00533565,0.008707896,0.005145868,0.006879107,0.009161784,0.011185341,0.008953598,0.00541291,0.009982861,0.00885951,0.015967676,0.020208801,0.018224039,0.018960225,0.026348149,0.026654114,0.02593344
S6_T2,0.034791944,0.014477637,0.031535528,0.045355398,0.039252173,0.035538241,0.035606192,0.035386844,0.039105606,0.038061868,0.035160767,0.01177698,0.028255362,0.033229865,0.021180803,0.033215668,0.03453996,0.037954589,0.038843526,0.038450906,0.030496903,0.015412534,0.024422839,0.033438234,0.020816935,0.030716959,0.034894538,0.036872775,0.038288563,0.003973068,0.004277261,0.00623571,0.004815481,0.011184661,0.035597116,0.003603781,0.003235886,0.008314909,0.00257724,0.002950231,0.007087745,0.005771312,0.032404818,0.004412269,0.008598644,NA,0.002141011,0.006231068,0.003675291,0.004825998,0.008341711,0.007914639,0.019068573,0.006775585,0.003085536,0.004140305,0.006048685,0.004382736,0.006760088,0.009596667,0.007651534,0.008694821,0.043635398,0.043684195,0.043117283
S7_T2,0.026802374,0.009499401,0.024108134,0.037286845,0.031785411,0.027569636,0.027765072,0.027415604,0.031138051,0.030003727,0.02721275,0.007512266,0.020997622,0.025455256,0.015068237,0.025675775,0.026764885,0.029962836,0.030933834,0.030228518,0.023075822,0.010574177,0.017626435,0.025707608,0.014834696,0.023506598,0.027056573,0.029038638,0.030028395,0.002080461,0.002812328,0.00355888,0.004071154,0.008935097,0.03320787,0.004086671,0.001126417,0.005877029,0.001785535,0.001543011,0.004851275,0.004132703,0.024206146,0.003977816,0.00529155,0.002141011,NA,0.003616927,0.002908231,0.004001886,0.006057783,0.006314673,0.013678943,0.006348396,0.003952096,0.001930991,0.005067786,0.005286505,0.007081133,0.009732695,0.007719226,0.00842158,0.035402664,0.035532171,0.034942442
S8_T2,0.029913822,0.012966227,0.027303268,0.040499933,0.034176973,0.030683536,0.030797021,0.030534127,0.034135411,0.033128161,0.030352121,0.010205243,0.024275098,0.028536561,0.01905024,0.029104085,0.029899039,0.033066427,0.034096617,0.033320062,0.026127521,0.013574677,0.020751824,0.028587212,0.018503924,0.026595231,0.030109842,0.032217447,0.033186028,0.005159113,0.007992754,0.006715292,0.007438011,0.011035594,0.036790819,0.007053945,0.005949851,0.005583201,0.004430959,0.005978608,0.008515614,0.006058047,0.026680681,0.008525377,0.007580866,0.006231068,0.003616927,NA,0.005079461,0.00741748,0.009994279,0.011022204,0.016716366,0.010134125,0.007445411,0.004522057,0.003553445,0.006041364,0.009108506,0.010891544,0.009235487,0.009429315,0.038570818,0.038806552,0.038168491
S9_T2,0.029055418,0.010648842,0.026377425,0.039863981,0.032440248,0.029819384,0.029966643,0.02970964,0.03340106,0.03236773,0.029529743,0.00860153,0.02334971,0.027663421,0.016951172,0.027852728,0.029069038,0.032323177,0.033267784,0.032667631,0.025151099,0.010645752,0.020358906,0.027695421,0.016315267,0.025703672,0.029119505,0.031259861,0.032457921,0.004945205,0.003643847,0.003470172,0.004483053,0.010798722,0.033712879,0.006948076,0.00377407,0.008505054,0.002500169,0.002844364,0.004584527,0.003626735,0.025540454,0.003629708,0.00533565,0.003675291,0.002908231,0.005079461,NA,0.004926556,0.006412119,0.005272346,0.016018426,0.006610046,0.005292427,0.002587503,0.005125329,0.00299387,0.009301312,0.012511677,0.010064576,0.011289021,0.037891068,0.038118691,0.037452598
S10_T3,0.027147484,0.011227773,0.025236501,0.037667633,0.033563286,0.027891683,0.028300099,0.027662332,0.03115068,0.030400534,0.02759238,0.00928744,0.021443322,0.025785402,0.016329894,0.025876358,0.027197106,0.03012692,0.031001413,0.030694031,0.023755605,0.011525551,0.018774549,0.025886149,0.015515394,0.023763965,0.027450345,0.028946535,0.03060759,0.00395538,0.007111034,0.00532384,0.006749987,0.010035449,0.034010275,0.008367854,0.004652691,0.010999593,0.004711129,0.003151209,0.007096423,0.004544324,0.025686498,0.005259928,0.008707896,0.004825998,0.004001886,0.00741748,0.004926556,NA,0.007640275,0.006769797,0.01455288,0.007908357,0.006983102,0.004225921,0.006703414,0.005263932,0.010050165,0.012103186,0.01014462,0.011434921,0.035493848,0.035418983,0.034956644
S1_T3,0.01850106,0.006499131,0.017359271,0.028684721,0.024951252,0.01885346,0.020276725,0.019069945,0.022005592,0.02196208,0.018920365,0.005576565,0.014897488,0.01752441,0.009647489,0.017097214,0.018788579,0.020867212,0.021979413,0.021984594,0.015850434,0.006432868,0.013052836,0.018206227,0.009494078,0.015883816,0.019035073,0.020279524,0.021870294,0.007008891,0.006410826,0.004534629,0.008091359,0.011976194,0.03353278,0.01072332,0.007795376,0.011167057,0.006906167,0.004929199,0.003028729,0.005233761,0.019210897,0.007076889,0.005145868,0.008341711,0.006057783,0.009994279,0.006412119,0.007640275,NA,0.006152865,0.010596656,0.011248989,0.010521785,0.007795428,0.010931965,0.010228911,0.015565814,0.019305369,0.017325633,0.018879074,0.025484791,0.025465158,0.025027584
S3_T3,0.02187425,0.008528689,0.01965902,0.032139928,0.027754105,0.022468232,0.02261894,0.022278607,0.025450977,0.02484715,0.022167153,0.006773765,0.016810778,0.020517402,0.01141229,0.020781418,0.021826092,0.024501045,0.025565289,0.025172104,0.018645501,0.008321021,0.015406136,0.020823479,0.011404202,0.019437636,0.021925221,0.023970264,0.025104702,0.007983859,0.004894885,0.004618357,0.006423637,0.010835833,0.037253931,0.012079512,0.007243305,0.012426531,0.005880426,0.004690125,0.005549494,0.006458098,0.021228804,0.005691221,0.006879107,0.007914639,0.006314673,0.011022204,0.005272346,0.006769797,0.006152865,NA,0.014002569,0.010305746,0.010383677,0.006938226,0.010951871,0.008708204,0.014281214,0.018590436,0.015746677,0.017826282,0.029754156,0.029925478,0.029317669
S4_T3,0.008886268,0.004783504,0.009294307,0.019627175,0.016753257,0.009486035,0.010649199,0.009445338,0.013034268,0.011981335,0.009335942,0.004951302,0.006926107,0.008546831,0.005959431,0.009315911,0.009671727,0.010871924,0.012682239,0.01175247,0.007763799,0.005491721,0.006774192,0.008485686,0.005955693,0.007952486,0.009902739,0.0112327,0.011720684,0.011012555,0.017284227,0.010345858,0.016390369,0.014645224,0.044651618,0.018829722,0.015617846,0.01838591,0.015417193,0.011759116,0.012219108,0.010005316,0.010896773,0.015724379,0.009161784,0.019068573,0.013678943,0.016716366,0.016018426,0.01455288,0.010596656,0.014002569,NA,0.021925037,0.020707357,0.014341142,0.018195472,0.018160775,0.026235289,0.030923941,0.027984515,0.028303612,0.015627505,0.015989628,0.015560153
S5_T3,0.03657237,0.016997227,0.033791029,0.047408769,0.041997603,0.03750965,0.037714087,0.037326171,0.041026763,0.040036067,0.037070881,0.014271468,0.02983279,0.034979113,0.022454993,0.035169026,0.036514494,0.039847114,0.041078006,0.040313018,0.032622026,0.015447281,0.026220486,0.034895986,0.021707337,0.03184259,0.036689608,0.038737104,0.03991292,0.008875647,0.007176876,0.008859499,0.008521005,0.013386251,0.037010084,0.010831595,0.006931951,0.011918346,0.005376629,0.007317308,0.010524475,0.006383046,0.033508755,0.005039429,0.011185341,0.006775585,0.006348396,0.010134125,0.006610046,0.007908357,0.011248989,0.010305746,0.021925037,NA,0.008897736,0.006840783,0.007356304,0.007282255,0.010454044,0.012981343,0.011131161,0.012497688,0.045264724,0.045638257,0.044765531
S6_T3,0.038033871,0.016854114,0.034842576,0.048296216,0.040893671,0.038697596,0.038731207,0.038681322,0.042360457,0.041159955,0.038281147,0.014371391,0.031318428,0.036336886,0.024091934,0.036322556,0.03775469,0.041313581,0.042050586,0.041456888,0.033584422,0.017826535,0.027271674,0.036589294,0.023877449,0.033400477,0.038265405,0.040073941,0.041422363,0.004975484,0.005136135,0.00933381,0.00677708,0.013109211,0.037469552,0.005445628,0.005470773,0.010329508,0.005014384,0.00452245,0.008617555,0.008558293,0.033557877,0.00673408,0.008953598,0.003085536,0.003952096,0.007445411,0.005292427,0.006983102,0.010521785,0.010383677,0.020707357,0.008897736,NA,0.005041705,0.008507517,0.00597111,0.009098433,0.012857703,0.010598138,0.010919505,0.046919198,0.046923714,0.046369359
S7_T3,0.027701917,0.010758227,0.025420076,0.03823934,0.032512294,0.028422695,0.028757313,0.028263653,0.031981417,0.030774614,0.028187456,0.008707532,0.022059188,0.026321946,0.016500709,0.026455755,0.027737422,0.030868392,0.03151721,0.031190014,0.023945861,0.010729076,0.018856222,0.026507547,0.015887012,0.024258734,0.028076439,0.029558944,0.03104593,0.004182643,0.004460676,0.004750945,0.005588611,0.010796953,0.034890972,0.007094046,0.003339449,0.007553928,0.003053889,0.002888936,0.005664701,0.004321396,0.023912541,0.005035472,0.00541291,0.004140305,0.001930991,0.004522057,0.002587503,0.004225921,0.007795428,0.006938226,0.014341142,0.006840783,0.005041705,NA,0.005419473,0.004031726,0.008857651,0.012085094,0.009767674,0.01061853,0.036409607,0.036424519,0.036025489
S8_T3,0.033493635,0.014861999,0.030629814,0.044373604,0.038362802,0.034371008,0.034793762,0.034186831,0.037901869,0.036925378,0.033916118,0.01265911,0.027359747,0.032068989,0.021542669,0.032614604,0.033747299,0.03691786,0.037824383,0.037206747,0.02965408,0.015123499,0.02372784,0.032024133,0.02047628,0.029655228,0.033728094,0.035863168,0.03688017,0.006611756,0.00884907,0.007457515,0.006888191,0.009435974,0.041273285,0.008616377,0.006483195,0.007827663,0.004709681,0.006712727,0.00945581,0.005017058,0.030045071,0.00721719,0.009982861,0.006048685,0.005067786,0.003553445,0.005125329,0.006703414,0.010931965,0.010951871,0.018195472,0.007356304,0.008507517,0.005419473,NA,0.005050386,0.008436969,0.009488453,0.008640791,0.00918961,0.042479514,0.042683666,0.042022159
S9_T3,0.032499286,0.014331719,0.029829636,0.04307002,0.036945584,0.033180887,0.033301089,0.0330763,0.036665231,0.035796505,0.032930213,0.011483468,0.02640763,0.030948486,0.0200175,0.031229953,0.032411534,0.035658499,0.036387588,0.036147151,0.028329277,0.013552469,0.022808604,0.030768539,0.019135065,0.028466542,0.032525598,0.034199202,0.036034176,0.006069858,0.007459107,0.006934329,0.005970295,0.010416961,0.037147064,0.008969859,0.007138885,0.008735883,0.003101196,0.005016325,0.008732345,0.005377638,0.029248055,0.005835466,0.00885951,0.004382736,0.005286505,0.006041364,0.00299387,0.005263932,0.010228911,0.008708204,0.018160775,0.007282255,0.00597111,0.004031726,0.005050386,NA,0.008286939,0.012318835,0.009523415,0.011028721,0.041193011,0.041336017,0.040814008
Spring_Female_1,0.042965072,0.021582413,0.039802494,0.053943411,0.046414376,0.044135808,0.044051267,0.04391577,0.047677927,0.046460327,0.043293695,0.01881697,0.03610637,0.041366366,0.028546563,0.041797796,0.042929153,0.046475189,0.047489665,0.046571904,0.038721695,0.021998553,0.031508325,0.041352796,0.028178194,0.038787363,0.043020433,0.045456057,0.046281193,0.009958331,0.010985014,0.011866164,0.011192187,0.014918357,0.0446427,0.010489481,0.008143025,0.011074801,0.00811456,0.00885746,0.01379055,0.011659329,0.040294117,0.00954338,0.015967676,0.006760088,0.007081133,0.009108506,0.009301312,0.010050165,0.015565814,0.014281214,0.026235289,0.010454044,0.009098433,0.008857651,0.008436969,0.008286939,NA,0.004597296,0.002133959,0.003122748,0.051381563,0.051574475,0.05091021
Spring_Female_2,0.048924737,0.026736262,0.045519638,0.060062094,0.054222865,0.050024769,0.050186597,0.049839424,0.053659026,0.052396644,0.049341242,0.023027144,0.041689188,0.047355938,0.034109268,0.047670219,0.04887524,0.05243169,0.053639735,0.05264675,0.044784807,0.026493609,0.036599076,0.046995288,0.033574353,0.044581021,0.048776331,0.051506428,0.052259767,0.013534712,0.014834374,0.013744451,0.013853874,0.018778518,0.047912001,0.011932328,0.010917899,0.015017195,0.011188346,0.012864935,0.017536657,0.014053718,0.04623369,0.01278833,0.020208801,0.009596667,0.009732695,0.010891544,0.012511677,0.012103186,0.019305369,0.018590436,0.030923941,0.012981343,0.012857703,0.012085094,0.009488453,0.012318835,0.004597296,NA,0.002488294,0.003134386,0.057702343,0.057820504,0.057219695
Spring_Female_3,0.044975567,0.022981775,0.041635316,0.056171827,0.049742972,0.046192538,0.046269796,0.045952891,0.049758616,0.048499489,0.045432274,0.020481389,0.038036369,0.043495866,0.030428022,0.043871189,0.045008957,0.048547966,0.049696855,0.04867776,0.040902393,0.023796514,0.033159768,0.043182676,0.029979488,0.040486697,0.04502608,0.047552327,0.048289981,0.010545643,0.01255232,0.012440537,0.012192178,0.016222174,0.046602485,0.010490449,0.007974146,0.013128494,0.00860855,0.009887514,0.016136227,0.012782966,0.042414212,0.010366186,0.018224039,0.007651534,0.007719226,0.009235487,0.010064576,0.01014462,0.017325633,0.015746677,0.027984515,0.011131161,0.010598138,0.009767674,0.008640791,0.009523415,0.002133959,0.002488294,NA,0.000322401,0.053527569,0.053676065,0.053059165
Spring_Female_4,0.04664672,0.024031717,0.043265101,0.057771713,0.051021494,0.04788283,0.047978598,0.047708886,0.051454397,0.05019557,0.047110593,0.021802873,0.039750229,0.045177428,0.032284885,0.045718302,0.046761236,0.050295008,0.051443485,0.050347353,0.042586811,0.025323123,0.034841258,0.044866777,0.031754689,0.042112417,0.04672933,0.049334633,0.049946936,0.010609794,0.014242309,0.013691814,0.012974639,0.016875118,0.047828344,0.010051,0.008776498,0.013867468,0.010081059,0.011405546,0.017396229,0.013789637,0.043347887,0.012019859,0.018960225,0.008694821,0.00842158,0.009429315,0.011289021,0.011434921,0.018879074,0.017826282,0.028303612,0.012497688,0.010919505,0.01061853,0.00918961,0.011028721,0.003122748,0.003134386,0.000322401,NA,0.055218619,0.055451725,0.054835075
Fall_Female_2,0.005576133,0.013548263,0.007151556,0.013392438,0.017547991,0.00594401,0.006342417,0.005563696,0.006800683,0.007802014,0.004764715,0.014684393,0.007098513,0.005557891,0.008149978,0.006438283,0.006155924,0.006049516,0.007380284,0.007423674,0.006094226,0.014679657,0.009989307,0.005911756,0.009116223,0.007574055,0.006895911,0.007959739,0.008202041,0.032179871,0.03794566,0.027701424,0.037252263,0.03309199,0.062730361,0.044671637,0.038391785,0.037917748,0.036109536,0.031389454,0.029931574,0.029445918,0.016422544,0.036604637,0.026348149,0.043635398,0.035402664,0.038570818,0.037891068,0.035493848,0.025484791,0.029754156,0.015627505,0.045264724,0.046919198,0.036409607,0.042479514,0.041193011,0.051381563,0.057702343,0.053527569,0.055218619,NA,0.002423397,0.002099156
Fall_Female_3,0.005532658,0.013916658,0.006857987,0.015816591,0.018804877,0.006536524,0.006346139,0.00523844,0.007279264,0.007321851,0.005195296,0.015158964,0.006946512,0.005724437,0.008450799,0.006504919,0.005467942,0.006062486,0.006916145,0.006794139,0.006151693,0.015121852,0.009788374,0.005996765,0.009378602,0.00834783,0.006534599,0.007285606,0.008097684,0.032567933,0.038374599,0.027922867,0.037511201,0.03310491,0.062418872,0.044920142,0.038610264,0.038114331,0.036270413,0.031672592,0.030067439,0.029520721,0.016599561,0.036931237,0.026654114,0.043684195,0.035532171,0.038806552,0.038118691,0.035418983,0.025465158,0.029925478,0.015989628,0.045638257,0.046923714,0.036424519,0.042683666,0.041336017,0.051574475,0.057820504,0.053676065,0.055451725,0.002423397,NA,0.00297999
Fall_Female_4,0.005092617,0.013134244,0.007479655,0.012894786,0.017911612,0.005687205,0.006615727,0.005074147,0.006527359,0.008222709,0.004393887,0.014237879,0.006906162,0.005310105,0.007616333,0.005688624,0.005965972,0.005359106,0.007090098,0.007795824,0.00589813,0.014297221,0.010002666,0.005697082,0.008679463,0.006986165,0.006723196,0.007321613,0.008392745,0.031764155,0.037361895,0.027347991,0.036773642,0.032848556,0.06234083,0.04424292,0.037895778,0.03760209,0.035662667,0.030925508,0.029239668,0.028948885,0.016252016,0.036154112,0.02593344,0.043117283,0.034942442,0.038168491,0.037452598,0.034956644,0.025027584,0.029317669,0.015560153,0.044765531,0.046369359,0.036025489,0.042022159,0.040814008,0.05091021,0.057219695,0.053059165,0.054835075,0.002099156,0.00297999,NA
