,F10_T1,F1_T1,F2_T1,F3_T1,F4_T1,F5_T1,F6_T1,F7_T1,F8_T1,F9_T1,F10_T2,F1_T2,F2_T2,F3_T2,F4_T2,F5_T2,F6_T2,F7_T2,F8_T2,F9_T2,F10_T3,F1_T3,F2_T3,F3_T3,F4_T3,F5_T3,F6_T3,F8_T3,F9_T3,S10_T1,S1_T1,S2_T1,S3_T1,S4_T1,S5_T1,S6_T1,S7_T1,S8_T1,S9_T1,S10_T2,S1_T2,S2_T2,S3_T2,S4_T2,S5_T2,S6_T2,S7_T2,S8_T2,S9_T2,S10_T3,S1_T3,S3_T3,S4_T3,S5_T3,S6_T3,S7_T3,S8_T3,S9_T3,Spring_Female_1,Spring_Female_2,Spring_Female_3,Spring_Female_4,Fall_Female_2,Fall_Female_3,Fall_Female_4
F10_T2,0.000903299,0.007137368,0.002441626,0.009196242,0.013553689,0.000969389,0.001563818,0.000618009,0.002702035,0.003855452,NA,0.007983663,0.00182167,0.00096019,0.002917857,0.001257951,0.001471044,0.001727593,0.002877017,0.003223749,0.000570954,0.008375011,0.004505908,0.001482625,0.003622211,0.002264659,0.002066947,0.003181975,0.004310934,0.024238568,0.02964828,0.019785151,0.029194044,0.02538957,0.05467295,0.036281173,0.030080821,0.029797761,0.027860426,0.023580461,0.02231918,0.021455343,0.009446163,0.02830972,0.018650821,0.035160767,0.02721275,0.030352121,0.029529743,0.02759238,0.018920365,0.022167153,0.009335942,0.037070881,0.038281147,0.028187456,0.033916118,0.032930213,0.043293695,0.049341242,0.045432274,0.047110593,0.004764715,0.005195296,0.004393887
F1_T2,0.007770871,0.001342771,0.006915346,0.017688595,0.016224765,0.00843031,0.008699471,0.008105505,0.011490962,0.010693654,0.007983663,NA,0.004653877,0.006897039,0.002100577,0.007667025,0.007816799,0.009709471,0.011624999,0.010334478,0.005815263,0.001627229,0.004248888,0.007176579,0.002277707,0.006899064,0.008187648,0.010455379,0.010542826,0.006445918,0.009037314,0.003937376,0.009381701,0.010690039,0.03567296,0.013518788,0.009774686,0.011363934,0.007739187,0.00552802,0.005932438,0.00481703,0.009574043,0.008382763,0.004305109,0.01177698,0.007512266,0.010205243,0.00860153,0.00928744,0.005576565,0.006773765,0.004951302,0.014271468,0.014371391,0.008707532,0.01265911,0.011483468,0.01881697,0.023027144,0.020481389,0.021802873,0.014684393,0.015158964,0.014237879
F2_T2,0.001914327,0.004855195,0.001606601,0.011675847,0.013000399,0.00200914,0.001969088,0.001498275,0.004667626,0.00339104,0.00182167,0.004653877,NA,0.001221702,0.001655312,0.002067042,0.001363828,0.002648431,0.004847322,0.003145081,0.001078654,0.005694168,0.0019473,0.001902854,0.001812911,0.002401923,0.001919462,0.00399056,0.003780024,0.018593779,0.02364903,0.014502414,0.022951656,0.020582173,0.049026628,0.029726565,0.023638528,0.024274077,0.02159937,0.017867233,0.017400156,0.015884946,0.007980573,0.021952624,0.014157081,0.028255362,0.020997622,0.024275098,0.02334971,0.021443322,0.014897488,0.016810778,0.006926107,0.02983279,0.031318428,0.022059188,0.027359747,0.02640763,0.03610637,0.041689188,0.038036369,0.039750229,0.007098513,0.006946512,0.006906162
F3_T2,0.001155206,0.006503847,0.00184806,0.010122029,0.013476477,0.001179433,0.002161866,0.000961217,0.003338783,0.003822663,0.00096019,0.006897039,0.001221702,NA,0.002290348,0.001550875,0.001200911,0.002098798,0.003301639,0.003232958,0.000854972,0.007274421,0.003517249,0.000895612,0.002630436,0.002555388,0.001771352,0.002808924,0.003641525,0.022625664,0.028027156,0.018252132,0.027357547,0.02412214,0.053059396,0.034592345,0.028349191,0.028080016,0.025989708,0.021893934,0.020668882,0.019772987,0.008446421,0.026377445,0.017301622,0.033229865,0.025455256,0.028536561,0.027663421,0.025785402,0.01752441,0.020517402,0.008546831,0.034979113,0.036336886,0.026321946,0.032068989,0.030948486,0.041366366,0.047355938,0.043495866,0.045177428,0.005557891,0.005724437,0.005310105
F4_T2,0.002761184,0.002256175,0.002864969,0.012564982,0.012759678,0.003287808,0.004110132,0.0029448,0.00579399,0.005848621,0.002917857,0.002100577,0.001655312,0.002290348,NA,0.002841804,0.003211595,0.004024675,0.005803928,0.00574866,0.002047176,0.003085307,0.002525912,0.002693909,0.000458653,0.003106976,0.003877944,0.005001847,0.005840661,0.013589363,0.016343513,0.009761358,0.017111467,0.015653286,0.043778446,0.023160247,0.017402784,0.018612829,0.015307091,0.012123454,0.011784741,0.011451393,0.008303142,0.015464665,0.009596737,0.021180803,0.015068237,0.01905024,0.016951172,0.016329894,0.009647489,0.01141229,0.005959431,0.022454993,0.024091934,0.016500709,0.021542669,0.0200175,0.028546563,0.034109268,0.030428022,0.032284885,0.008149978,0.008450799,0.007616333
F5_T2,0.001992633,0.007012135,0.002971089,0.010434256,0.014057435,0.000642674,0.002353727,0.001266807,0.003661759,0.004698262,0.001257951,0.007667025,0.002067042,0.001550875,0.002841804,NA,0.001910614,0.002101754,0.003028942,0.004525143,0.001464564,0.007887102,0.004071767,0.002090847,0.003392017,0.001145308,0.002758984,0.002732688,0.005661224,0.023191292,0.028145046,0.018679499,0.0276036,0.024494896,0.052988531,0.034867779,0.028466622,0.028573792,0.026380529,0.022209633,0.02076458,0.020165998,0.009757877,0.026828448,0.017684306,0.033215668,0.025675775,0.029104085,0.027852728,0.025876358,0.017097214,0.020781418,0.009315911,0.035169026,0.036322556,0.026455755,0.032614604,0.031229953,0.041797796,0.047670219,0.043871189,0.045718302,0.006438283,0.006504919,0.005688624
F6_T2,0.002378181,0.007534496,0.002060244,0.012263598,0.015117638,0.001831169,0.001280441,0.001247511,0.004244571,0.003257637,0.001471044,0.007816799,0.001363828,0.001200911,0.003211595,0.001910614,NA,0.002121116,0.003808785,0.002473235,0.001589807,0.008481188,0.003609315,0.001590651,0.0037522,0.003229215,0.000733185,0.00339897,0.003562983,0.023981196,0.029365846,0.019443808,0.028487917,0.024953055,0.053839478,0.035817179,0.029519828,0.029512912,0.027417564,0.023266203,0.021999092,0.021056869,0.009664586,0.027956617,0.018510587,0.03453996,0.026764885,0.029899039,0.029069038,0.027197106,0.018788579,0.021826092,0.009671727,0.036514494,0.03775469,0.027737422,0.033747299,0.032411534,0.042929153,0.04887524,0.045008957,0.046761236,0.006155924,0.005467942,0.005965972
F7_T2,0.00185668,0.008929404,0.003247491,0.011755069,0.015328921,0.001839134,0.003016539,0.000483646,0.004007831,0.004858817,0.001727593,0.009709471,0.002648431,0.002098798,0.004024675,0.002101754,0.002121116,NA,0.004059309,0.004320916,0.002417996,0.009963457,0.005500273,0.002412931,0.004439412,0.003404023,0.002989331,0.003752339,0.005242028,0.026909877,0.032501329,0.022327732,0.031542105,0.027746564,0.057093471,0.039133613,0.032854493,0.032388862,0.030569653,0.026139931,0.024477752,0.023894229,0.011366827,0.031127548,0.021052883,0.037954589,0.029962836,0.033066427,0.032323177,0.03012692,0.020867212,0.024501045,0.010871924,0.039847114,0.041313581,0.030868392,0.03691786,0.035658499,0.046475189,0.05243169,0.048547966,0.050295008,0.006049516,0.006062486,0.005359106
F8_T2,0.00381703,0.010459129,0.005095608,0.012647079,0.017061953,0.00337581,0.003366781,0.002667247,0.002759615,0.00619441,0.002877017,0.011624999,0.004847322,0.003301639,0.005803928,0.003028942,0.003808785,0.004059309,NA,0.005905386,0.003542348,0.011765068,0.007206353,0.003974946,0.006519741,0.004817209,0.004786663,0.001472126,0.006957896,0.028160937,0.033752319,0.023623684,0.033155416,0.028756059,0.057181331,0.040297871,0.03400813,0.033427499,0.031581972,0.027506729,0.025848734,0.025049038,0.011844977,0.032156306,0.022197852,0.038843526,0.030933834,0.034096617,0.033267784,0.031001413,0.021979413,0.025565289,0.012682239,0.041078006,0.042050586,0.03151721,0.037824383,0.036387588,0.047489665,0.053639735,0.049696855,0.051443485,0.007380284,0.006916145,0.007090098
F9_T2,0.003650072,0.009834171,0.003835004,0.01416608,0.016419059,0.004116788,0.003860772,0.003174485,0.006651309,0.001040046,0.003223749,0.010334478,0.003145081,0.003232958,0.00574866,0.004525143,0.002473235,0.004320916,0.005905386,NA,0.003336728,0.01086713,0.004961706,0.003409895,0.00628778,0.005420331,0.003015064,0.005653599,0.002015369,0.027340186,0.033025373,0.0227531,0.031961495,0.028145384,0.057421942,0.039452101,0.033177065,0.032860362,0.030834076,0.026660842,0.025237818,0.024436016,0.011668734,0.031539489,0.021632962,0.038450906,0.030228518,0.033320062,0.032667631,0.030694031,0.021984594,0.025172104,0.01175247,0.040313018,0.041456888,0.031190014,0.037206747,0.036147151,0.046571904,0.05264675,0.04867776,0.050347353,0.007423674,0.006794139,0.007795824
F10_T3,0.000925394,0.005412251,0.002192192,0.010135433,0.012800412,0.001276986,0.001912665,0.000884697,0.003405952,0.004054223,0.000570954,0.005815263,0.001078654,0.000854972,0.002047176,0.001464564,0.001589807,0.002417996,0.003542348,0.003336728,NA,0.006244079,0.003256268,0.001502934,0.002231078,0.002111309,0.001813768,0.00314875,0.004167428,0.020474274,0.025462761,0.016260098,0.025147086,0.022219776,0.05026892,0.032140237,0.026030733,0.025665955,0.023418688,0.019791596,0.018832726,0.017899665,0.007424377,0.024173559,0.015347852,0.030496903,0.023075822,0.026127521,0.025151099,0.023755605,0.015850434,0.018645501,0.007763799,0.032622026,0.033584422,0.023945861,0.02965408,0.028329277,0.038721695,0.044784807,0.040902393,0.042586811,0.006094226,0.006151693,0.00589813
F1_T3,0.007950708,0.002433815,0.008002182,0.018515212,0.016001318,0.008540772,0.009426237,0.008419832,0.011695845,0.011066939,0.008375011,0.001627229,0.005694168,0.007274421,0.003085307,0.007887102,0.008481188,0.009963457,0.011765068,0.01086713,0.006244079,NA,0.005333817,0.007584827,0.00305021,0.007118367,0.008661706,0.009961825,0.011192983,0.010152612,0.011934876,0.005998172,0.012189946,0.012831084,0.037906338,0.01751594,0.012709901,0.014304283,0.010587626,0.008571165,0.007264966,0.005912139,0.010532586,0.010628604,0.006284106,0.015412534,0.010574177,0.013574677,0.010645752,0.011525551,0.006432868,0.008321021,0.005491721,0.015447281,0.017826535,0.010729076,0.015123499,0.013552469,0.021998553,0.026493609,0.023796514,0.025323123,0.014679657,0.015121852,0.014297221
