,E10_T1,E10_T2,E10_T3,E10_T4,E10_T5,E1_T1,E1_T2,E1_T3,E1_T4,E1_T5,E2_T1,E2_T2,E2_T3,E2_T4,E2_T5,E3_T1,E3_T2,E3_T3,E3_T4,E3_T5,E4_T1,E4_T2,E4_T3,E4_T4,E4_T5,E5_T1,E5_T2,E5_T3,E5_T4,E5_T5,E6_T1,E6_T2,E6_T3,E6_T4,E6_T5,E7_T1,E7_T2,E7_T3,E7_T4,E7_T5,E8_T1,E8_T2,E8_T3,E8_T4,E8_T5,E9_T1,E9_T2,E9_T3,E9_T4,E9_T5,F10_T1,F10_T2,F10_T4,F10_T5,F1_T1,F1_T2,F1_T3,F1_T4,F1_T5,F2_T1,F2_T2,F2_T3,F2_T4,F2_T5,F3_T1,F3_T2,F3_T3,F3_T4,F3_T5,F4_T1,F4_T2,F4_T3,F4_T4,F4_T5,F5_T1,F5_T2,F5_T3,F5_T4,F5_T5,F6_T1,F6_T2,F6_T3,F6_T4,F6_T5,F7_T1,F7_T2,F7_T4,F7_T5,F8_T1,F8_T2,F8_T4,F8_T5,F9_T1,F9_T2,F9_T4,F9_T5
E2_T1,0.00328593,0.003553246,0.004378828,0.008366716,0.009138294,0.002728285,0.002550939,0.002721382,0.010507935,0.005404752,NA,0.006195408,0.003120016,0.003919756,0.010814981,0.002854395,0.002824469,0.004028023,0.003013302,0.003853014,0.003141765,0.003246482,0.003976149,0.004416165,0.004936657,0.003703085,0.003102816,0.00389208,0.004355088,0.006443255,0.00276735,0.003037285,0.005567149,0.004454697,0.005378279,0.003337219,0.003796524,0.003668719,0.011409063,0.007373235,0.002504974,0.005850538,0.004536,0.014691693,0.004871582,0.00303332,0.003235693,0.004377565,0.010905348,0.00515512,0.002142551,0.004724259,0.004346555,0.009837583,0.00225998,0.003420197,0.002995435,0.010659709,0.00718345,0.003118466,0.004534447,0.002519733,0.010181531,0.009142508,0.002497927,0.004147412,0.003094039,0.009884871,0.0089523,0.00321277,0.004104638,0.003693068,0.014051483,0.027866908,0.002730104,0.003162964,0.002780155,0.01405989,0.058014015,0.002399015,0.002475423,0.003402262,0.021495378,0.024186313,0.002654257,0.00294405,0.015444351,0.015148337,0.002329583,0.004122931,0.009460672,0.011540007,0.006224086,0.003725343,0.004621068,0.006322014
E2_T2,0.006204374,0.005665447,0.006145099,0.010606016,0.01037774,0.004585683,0.00426512,0.005605726,0.0097026,0.006714783,0.006195408,NA,0.005658691,0.004841364,0.013231379,0.005211593,0.005179948,0.005582203,0.004782854,0.005975003,0.005758164,0.007371359,0.005566626,0.007173466,0.007279561,0.004755162,0.005478246,0.005440572,0.004393942,0.007193008,0.005168502,0.004306487,0.005684712,0.004961029,0.005530993,0.00534651,0.003843638,0.004706323,0.011133868,0.009918443,0.005004561,0.004066515,0.004814088,0.01274329,0.00548654,0.00631709,0.005490533,0.006471945,0.010356981,0.007660929,0.004966131,0.0068039,0.006285527,0.007745036,0.005032021,0.005012945,0.005088606,0.010021935,0.010657796,0.005224326,0.005866172,0.004624549,0.009392919,0.010766112,0.005391755,0.006118456,0.004688343,0.008613379,0.01312024,0.00522964,0.006849117,0.006222288,0.013561998,0.029248707,0.005151969,0.006871743,0.005092845,0.0117094,0.060032742,0.004163888,0.00540338,0.005043694,0.022710173,0.023376751,0.006055712,0.005462272,0.010640607,0.019287699,0.004643482,0.008159444,0.008444298,0.011516473,0.006813326,0.005491266,0.005340636,0.005562973
E2_T3,0.002758124,0.002463211,0.002778069,0.008351615,0.008550851,0.002660166,0.002315932,0.002824308,0.009381129,0.003411111,0.003120016,0.005658691,NA,0.002092123,0.010731412,0.003639063,0.003698125,0.004193722,0.002353064,0.003943414,0.003083901,0.003479409,0.003979761,0.003633078,0.005066648,0.002735542,0.002424331,0.002509384,0.002332749,0.005509496,0.002846759,0.002520408,0.003512945,0.003834845,0.003698974,0.003146017,0.003372394,0.00270553,0.010994649,0.005862013,0.003599841,0.004257905,0.003328761,0.012167549,0.003083156,0.001995169,0.002318605,0.002897337,0.00916094,0.004445879,0.001941611,0.00297467,0.003162724,0.009430005,0.00267008,0.002625612,0.003316051,0.008892465,0.006901135,0.002543611,0.003621332,0.002845747,0.009748671,0.007584148,0.00229505,0.003534624,0.002412987,0.007187509,0.009260967,0.002872107,0.003284928,0.003223416,0.012144789,0.028006647,0.003118645,0.003607761,0.002342896,0.01323557,0.055649291,0.002042854,0.002855752,0.003136573,0.021785925,0.022645441,0.003669469,0.002717422,0.01386912,0.015709582,0.002405619,0.003377771,0.00699862,0.0092122,0.005494182,0.003256893,0.00418257,0.00528152
E2_T4,0.004833063,0.003643033,0.003425905,0.009049511,0.009755425,0.002669489,0.003317012,0.003653513,0.009055996,0.004196936,0.003919756,0.004841364,0.002092123,NA,0.00963233,0.004130741,0.004074676,0.004278785,0.002285401,0.004309441,0.003820967,0.004433227,0.004026536,0.004175846,0.005317607,0.004152506,0.003849489,0.003822987,0.00286263,0.004965471,0.003740121,0.00305926,0.003578307,0.003570448,0.004276858,0.00393562,0.003150749,0.003172172,0.009400372,0.007463301,0.004406313,0.004382053,0.003794473,0.013422174,0.003835015,0.003237685,0.003406053,0.004044248,0.008994906,0.005862921,0.003024842,0.003801744,0.003142004,0.008796603,0.00357784,0.003114086,0.003753495,0.009323668,0.007695028,0.003681507,0.004598113,0.003106555,0.009829436,0.007518776,0.003394694,0.0051166,0.00249402,0.007647635,0.010305497,0.004209317,0.004247072,0.002938259,0.012112003,0.028775222,0.004310492,0.005390741,0.003275221,0.013219827,0.055551661,0.002436496,0.003633139,0.003363695,0.022096806,0.022233007,0.004648982,0.004018629,0.013524044,0.015849684,0.00322091,0.005240871,0.007191777,0.009426701,0.00617185,0.004007946,0.004219372,0.005119719
E2_T5,0.01166632,0.011050708,0.012128107,0.01510924,0.017046348,0.010600811,0.009257308,0.010746587,0.019831249,0.011770606,0.010814981,0.013231379,0.010731412,0.00963233,NA,0.011505741,0.010683569,0.013284803,0.011176156,0.010603965,0.013286677,0.012654939,0.011250856,0.012290353,0.012283962,0.011276986,0.010731347,0.011299834,0.010769048,0.011350431,0.010335243,0.010236806,0.013033586,0.011623384,0.011943296,0.011985832,0.011737986,0.009596626,0.018750944,0.014331864,0.010494292,0.01319415,0.012270178,0.023250936,0.011750135,0.011973839,0.010751518,0.010418495,0.015651762,0.011078103,0.009525509,0.011688817,0.011829547,0.01687575,0.009375693,0.010087382,0.010649901,0.018609376,0.016224826,0.009971114,0.011340351,0.009373214,0.016229455,0.017258975,0.010903213,0.011036623,0.00878488,0.015934374,0.015844309,0.011059135,0.011259235,0.01062306,0.020284986,0.037603778,0.010559102,0.011763647,0.010003559,0.021994444,0.063569706,0.010125519,0.010171833,0.009720083,0.029881558,0.033782295,0.010700803,0.009841504,0.023081245,0.020534426,0.009865924,0.012418289,0.017526229,0.019769011,0.012666445,0.011131859,0.012624729,0.014448862
E3_T1,0.004008368,0.002361236,0.003969655,0.008780438,0.009022822,0.001684592,0.00200115,0.003131005,0.01110234,0.004936072,0.002854395,0.005211593,0.003639063,0.004130741,0.011505741,NA,0.002148195,0.00315188,0.002124728,0.003069372,0.001924492,0.003367234,0.003101875,0.003723326,0.004550947,0.002634582,0.002373492,0.003869701,0.003680219,0.00621551,0.001932542,0.00206422,0.003561854,0.002635463,0.00379114,0.002276861,0.004469917,0.002972453,0.009356419,0.008455019,0.0019201,0.004453599,0.003791589,0.013551329,0.003364453,0.003495044,0.003170995,0.003939284,0.009291025,0.004729606,0.002167623,0.004541112,0.003437113,0.00716963,0.002530537,0.003965315,0.003195095,0.009504683,0.006169645,0.002458439,0.003508865,0.002697386,0.009032721,0.006928905,0.002381228,0.003011525,0.002139268,0.008223579,0.009413888,0.002004696,0.003629729,0.003183797,0.01249442,0.02666642,0.002384734,0.003877019,0.002304183,0.01163991,0.055693977,0.002013061,0.002546444,0.002350862,0.021607685,0.021152132,0.002779929,0.00224356,0.013823531,0.013231826,0.001869292,0.004041848,0.006948989,0.009172219,0.005620244,0.003920599,0.002946417,0.005273422
E3_T2,0.00385684,0.003072221,0.00435989,0.008859945,0.00861889,0.002692516,0.002378813,0.003532073,0.010819446,0.005220376,0.002824469,0.005179948,0.003698125,0.004074676,0.010683569,0.002148195,NA,0.003421486,0.002167723,0.003027124,0.003271562,0.00388097,0.003797483,0.004626,0.005103804,0.003531049,0.002830483,0.004161974,0.003585458,0.006111353,0.002704932,0.002556108,0.005247177,0.003940514,0.004714861,0.003025723,0.004351564,0.003733604,0.011265327,0.008025158,0.002707506,0.004854393,0.004118554,0.014384336,0.003986207,0.003082373,0.003532439,0.004009538,0.010011516,0.005182617,0.003000763,0.005062029,0.003772854,0.007931037,0.002928262,0.004448652,0.003807844,0.010728895,0.007858338,0.002786717,0.004778833,0.003207979,0.009703007,0.008098845,0.003379981,0.003438624,0.002679771,0.009241361,0.009639388,0.003013261,0.004379635,0.003917291,0.01336797,0.028026091,0.002847252,0.003975102,0.002683921,0.013329995,0.055442889,0.002896738,0.003399832,0.003654044,0.021622748,0.022896008,0.002809394,0.002562889,0.014887322,0.013377869,0.002252196,0.004870404,0.007895374,0.009886184,0.006192323,0.004353867,0.00416883,0.006111317
E3_T3,0.005526601,0.003484039,0.003301362,0.009047389,0.010201148,0.003293776,0.003564514,0.004139338,0.012422271,0.005802225,0.004028023,0.005582203,0.004193722,0.004278785,0.013284803,0.00315188,0.003421486,NA,0.002643315,0.003951069,0.004160975,0.005667741,0.004134229,0.005100798,0.006422313,0.003898745,0.003890794,0.004068424,0.003892133,0.005603269,0.003850135,0.003486573,0.004149123,0.004490189,0.005351189,0.00453065,0.003842156,0.003007303,0.010174044,0.009946904,0.004318033,0.003589554,0.004259706,0.012810876,0.004201603,0.00422634,0.004115978,0.004401998,0.009030092,0.006130732,0.003953855,0.00517238,0.00451962,0.006858521,0.00366072,0.004222386,0.004407419,0.010822695,0.008993287,0.004001471,0.00580888,0.004015691,0.010003188,0.009488205,0.003684888,0.004387084,0.003042256,0.009005678,0.011367682,0.003509276,0.005609795,0.003893834,0.014938382,0.029798364,0.004123259,0.005483938,0.002694258,0.014574255,0.058461751,0.002903495,0.004809217,0.003651048,0.021259698,0.021030949,0.004009727,0.003344672,0.015988637,0.015431723,0.003939269,0.00698071,0.00856389,0.010724805,0.006235766,0.004533461,0.00409259,0.005160547
E3_T4,0.003614945,0.002126621,0.003085769,0.008738854,0.008840261,0.002168125,0.001995946,0.002474065,0.010149296,0.004126283,0.003013302,0.004782854,0.002353064,0.002285401,0.011176156,0.002124728,0.002167723,0.002643315,NA,0.002287969,0.002417782,0.003397966,0.002908274,0.003374575,0.00419243,0.002799668,0.002254137,0.00317637,0.002608294,0.005016321,0.002479298,0.001985544,0.003211406,0.002679704,0.003377836,0.002500177,0.00338974,0.002364133,0.008757582,0.007418737,0.002519676,0.003616577,0.002804594,0.012289978,0.002711869,0.002696444,0.002429375,0.003377921,0.008749638,0.004705772,0.002402112,0.003784739,0.002747256,0.006850672,0.002364385,0.003821494,0.002713456,0.008764995,0.00662912,0.002438455,0.003711818,0.002803851,0.008683624,0.006490615,0.002307464,0.002918788,0.001830506,0.007308743,0.009759541,0.002702095,0.003561688,0.002782422,0.011623842,0.026652052,0.002595694,0.004008801,0.001854461,0.012007812,0.055166729,0.001796951,0.002786941,0.002689522,0.020306569,0.021796297,0.00286712,0.00251957,0.013087657,0.014066857,0.002197895,0.004693353,0.006599115,0.008749195,0.005622757,0.003555983,0.002987663,0.005114027
E3_T5,0.003986826,0.0028463,0.004293015,0.00911975,0.008824843,0.003371945,0.003167259,0.00394308,0.011632277,0.005243552,0.003853014,0.005975003,0.003943414,0.004309441,0.010603965,0.003069372,0.003027124,0.003951069,0.002287969,NA,0.004264165,0.004660229,0.004078495,0.004574062,0.005431373,0.004205712,0.003362363,0.004272522,0.004069757,0.005981629,0.003065088,0.00297876,0.005501308,0.003827426,0.00428819,0.002721214,0.005256466,0.003116376,0.010315434,0.007437638,0.003470972,0.004891015,0.00407267,0.013295734,0.003594121,0.004477535,0.003555503,0.003850644,0.009101374,0.004796923,0.002707566,0.00528836,0.00427735,0.007417388,0.003407986,0.004631837,0.003236392,0.009205262,0.006833713,0.003109244,0.003744994,0.003797505,0.008495866,0.007403829,0.003195922,0.00377454,0.002308811,0.00794108,0.009171233,0.003414679,0.00391466,0.003890282,0.01104432,0.027010118,0.003500451,0.004169538,0.002633204,0.012627042,0.054702835,0.00313625,0.002961032,0.003351559,0.021393862,0.021941135,0.003461883,0.003269345,0.013149392,0.0129829,0.002971529,0.004918441,0.008110919,0.00954424,0.006147655,0.005023293,0.003606638,0.005737915
