	e11_t1_y2017_seqrunB	e13_t1_y2017_seqrunB	e14_t1_y2017_seqrunB	e16_t1_y2017_seqrunB	e17_t1_y2017_seqrunB	e19_t1_y2017_seqrunB	e23_t1_y2017_seqrunB	e30_t1_y2017_seqrunB	f15_t1_y2017_seqrunB	f20_t1_y2017_seqrunB	f25_t1_y2017_seqrunB	f28_t1_y2017_seqrunB	f31_t1_y2017_seqrunB
e11_t1_y2017_seqrunB	0.0	0.6133333333333333	0.4666666666666667	0.41333333333333333	0.5533333333333333	0.5533333333333333	0.58	0.45066666666666666	0.49066666666666664	0.652	0.5986666666666667	0.46266666666666667	0.45066666666666666
e13_t1_y2017_seqrunB	0.6133333333333333	0.0	0.5253333333333333	0.552	0.6733333333333333	0.5226666666666666	0.5693333333333334	0.588	0.5613333333333334	0.544	0.564	0.508	0.5653333333333334
e14_t1_y2017_seqrunB	0.4666666666666667	0.5253333333333333	0.0	0.35333333333333333	0.4573333333333333	0.408	0.48	0.488	0.45466666666666666	0.6106666666666667	0.45866666666666667	0.356	0.404
e16_t1_y2017_seqrunB	0.41333333333333333	0.552	0.35333333333333333	0.0	0.3453333333333333	0.43466666666666665	0.49066666666666664	0.41733333333333333	0.37333333333333335	0.6026666666666667	0.5826666666666667	0.404	0.42933333333333334
e17_t1_y2017_seqrunB	0.5533333333333333	0.6733333333333333	0.4573333333333333	0.3453333333333333	0.0	0.46266666666666667	0.5853333333333334	0.5266666666666666	0.596	0.6826666666666666	0.7373333333333333	0.6013333333333334	0.6373333333333333
e19_t1_y2017_seqrunB	0.5533333333333333	0.5226666666666666	0.408	0.43466666666666665	0.46266666666666667	0.0	0.4786666666666667	0.48	0.5653333333333334	0.676	0.5493333333333333	0.5133333333333333	0.536
e23_t1_y2017_seqrunB	0.58	0.5693333333333334	0.48	0.49066666666666664	0.5853333333333334	0.4786666666666667	0.0	0.428	0.4746666666666667	0.696	0.6346666666666667	0.4653333333333333	0.5693333333333334
e30_t1_y2017_seqrunB	0.45066666666666666	0.588	0.488	0.41733333333333333	0.5266666666666666	0.48	0.428	0.0	0.396	0.6306666666666667	0.6453333333333333	0.376	0.49066666666666664
f15_t1_y2017_seqrunB	0.49066666666666664	0.5613333333333334	0.45466666666666666	0.37333333333333335	0.596	0.5653333333333334	0.4746666666666667	0.396	0.0	0.48533333333333334	0.532	0.25733333333333336	0.296
f20_t1_y2017_seqrunB	0.652	0.544	0.6106666666666667	0.6026666666666667	0.6826666666666666	0.676	0.696	0.6306666666666667	0.48533333333333334	0.0	0.556	0.516	0.42
f25_t1_y2017_seqrunB	0.5986666666666667	0.564	0.45866666666666667	0.5826666666666667	0.7373333333333333	0.5493333333333333	0.6346666666666667	0.6453333333333333	0.532	0.556	0.0	0.4026666666666667	0.47333333333333333
f28_t1_y2017_seqrunB	0.46266666666666667	0.508	0.356	0.404	0.6013333333333334	0.5133333333333333	0.4653333333333333	0.376	0.25733333333333336	0.516	0.4026666666666667	0.0	0.2906666666666667
f31_t1_y2017_seqrunB	0.45066666666666666	0.5653333333333334	0.404	0.42933333333333334	0.6373333333333333	0.536	0.5693333333333334	0.49066666666666664	0.296	0.42	0.47333333333333333	0.2906666666666667	0.0
