	e11_t3_y2017_seqrunB	e13_t3_y2017_seqrunB	e14_t3_y2017_seqrunB	e16_t3_y2017_seqrunB	e17_t3_y2017_seqrunB	e19_t3_y2017_seqrunB	e23_t3_y2017_seqrunB	e30_t3_y2017_seqrunB	f15_t3_y2017_seqrunB	f20_t3_y2017_seqrunB	f21_t3_y2017_seqrunB	f25_t3_y2017_seqrunB	f28_t3_y2017_seqrunB	f3_t3_y2017_seqrunB	f31_t3_y2017_seqrunB	f4_t3_y2017_seqrunB
e11_t3_y2017_seqrunB	0	0.3446317613124847	0.2319781929254532	0.226492702960968	0.397237092256546	0.3392456769943237	0.4790964424610138	0.2951932847499847	0.7540996074676514	0.7529325485229492	0.7529325485229492	0.7653055787086487	0.7529325485229492	0.6759963035583496	0.7597886323928833	0.7338734269142151
e13_t3_y2017_seqrunB	0.3446317613124847	0	0.2338388860225677	0.3249328136444092	0.2894874215126038	0.2383394688367844	0.4215956926345825	0.3174505829811096	0.818231463432312	0.8173404335975647	0.8173404335975647	0.8267754316329956	0.8173404335975647	0.7375455498695374	0.8225724101066589	0.7973321676254272
e14_t3_y2017_seqrunB	0.2319781929254532	0.2338388860225677	0	0.3466542065143585	0.3865689933300018	0.255848616361618	0.4536519646644592	0.3683629631996155	0.8196501135826111	0.8187728524208069	0.8187728524208069	0.8280643224716187	0.8187728524208069	0.7395937442779541	0.8239242434501648	0.7989137768745422
e16_t3_y2017_seqrunB	0.226492702960968	0.3249328136444092	0.3466542065143585	0	0.3880800008773804	0.2608678936958313	0.5599119663238525	0.2998320460319519	0.7902971506118774	0.7894555926322937	0.7894555926322937	0.7984421849250793	0.7894555926322937	0.7241909503936768	0.7944180369377136	0.7731758952140808
e17_t3_y2017_seqrunB	0.397237092256546	0.2894874215126038	0.3865689933300018	0.3880800008773804	0	0.3533174395561218	0.4220468401908875	0.3221042454242706	0.8235672116279602	0.8227276802062988	0.8227276802062988	0.8316279053688049	0.8227276802062988	0.7452490329742432	0.8276597261428833	0.803280770778656
e19_t3_y2017_seqrunB	0.3392456769943237	0.2383394688367844	0.255848616361618	0.2608678936958313	0.3533174395561218	0	0.5138202905654907	0.3330817520618439	0.8439633846282959	0.8433070182800293	0.8433070182800293	0.8503016233444214	0.8433070182800293	0.7746965885162354	0.8471730351448059	0.8260202407836914
e23_t3_y2017_seqrunB	0.4790964424610138	0.4215956926345825	0.4536519646644592	0.5599119663238525	0.4220468401908875	0.5138202905654907	0	0.515326976776123	0.7144657969474792	0.7122604250907898	0.7122604250907898	0.7349978685379028	0.7122604250907898	0.5877408385276794	0.725033164024353	0.6816526651382446
e30_t3_y2017_seqrunB	0.2951932847499847	0.3174505829811096	0.3683629631996155	0.2998320460319519	0.3221042454242706	0.3330817520618439	0.515326976776123	0	0.7646095752716064	0.7635539174079895	0.7635539174079895	0.7747745513916016	0.7635539174079895	0.6907821297645569	0.7697638273239136	0.7454900741577148
f15_t3_y2017_seqrunB	0.7540996074676514	0.818231463432312	0.8196501135826111	0.7902971506118774	0.8235672116279602	0.8439633846282959	0.7144657969474792	0.7646095752716064	0	0.01820142939686775	0.01820142939686775	0.161040872335434	0.01820142939686775	0.2560120820999146	0.1150738075375557	0.1046776548027992
f20_t3_y2017_seqrunB	0.7529325485229492	0.8173404335975647	0.8187728524208069	0.7894555926322937	0.8227276802062988	0.8433070182800293	0.7122604250907898	0.7635539174079895	0.01820142939686775	0	0	0.1707774698734283	0	0.2456069588661194	0.1003139689564705	0.08956603705883026
f21_t3_y2017_seqrunB	0.7529325485229492	0.8173404335975647	0.8187728524208069	0.7894555926322937	0.8227276802062988	0.8433070182800293	0.7122604250907898	0.7635539174079895	0.01820142939686775	0	0	0.1707774698734283	0	0.2456069588661194	0.1003139689564705	0.08956603705883026
f25_t3_y2017_seqrunB	0.7653055787086487	0.8267754316329956	0.8280643224716187	0.7984421849250793	0.8316279053688049	0.8503016233444214	0.7349978685379028	0.7747745513916016	0.161040872335434	0.1707774698734283	0.1707774698734283	0	0.1707774698734283	0.3470529615879059	0.07832010090351105	0.2333205938339233
f28_t3_y2017_seqrunB	0.7529325485229492	0.8173404335975647	0.8187728524208069	0.7894555926322937	0.8227276802062988	0.8433070182800293	0.7122604250907898	0.7635539174079895	0.01820142939686775	0	0	0.1707774698734283	0	0.2456069588661194	0.1003139689564705	0.08956603705883026
f3_t3_y2017_seqrunB	0.6759963035583496	0.7375455498695374	0.7395937442779541	0.7241909503936768	0.7452490329742432	0.7746965885162354	0.5877408385276794	0.6907821297645569	0.2560120820999146	0.2456069588661194	0.2456069588661194	0.3470529615879059	0.2456069588661194	0	0.3041386306285858	0.1713918000459671
f31_t3_y2017_seqrunB	0.7597886323928833	0.8225724101066589	0.8239242434501648	0.7944180369377136	0.8276597261428833	0.8471730351448059	0.725033164024353	0.7697638273239136	0.1150738075375557	0.1003139689564705	0.1003139689564705	0.07832010090351105	0.1003139689564705	0.3041386306285858	0	0.1734691262245178
f4_t3_y2017_seqrunB	0.7338734269142151	0.7973321676254272	0.7989137768745422	0.7731758952140808	0.803280770778656	0.8260202407836914	0.6816526651382446	0.7454900741577148	0.1046776548027992	0.08956603705883026	0.08956603705883026	0.2333205938339233	0.08956603705883026	0.1713918000459671	0.1734691262245178	0
