	E7_T1_y2014_seqrunA	F10_T1_y2014_seqrunA	F2_T1_y2014_seqrunA	F3_T1_y2014_seqrunA	F4_T1_y2014_seqrunA	E2_T1_y2014_seqrunA	E5_T1_y2014_seqrunA	E9_T1_y2014_seqrunA
E7_T1_y2014_seqrunA	0.0	0.5466666666666666	0.31733333333333336	0.652	0.5866666666666667	0.39066666666666666	0.2906666666666667	0.62
F10_T1_y2014_seqrunA	0.5466666666666666	0.0	0.6613333333333333	0.2	0.228	0.33466666666666667	0.5893333333333334	0.5653333333333334
F2_T1_y2014_seqrunA	0.31733333333333336	0.6613333333333333	0.0	0.7186666666666667	0.652	0.4573333333333333	0.43066666666666664	0.6746666666666666
F3_T1_y2014_seqrunA	0.652	0.2	0.7186666666666667	0.0	0.148	0.39466666666666667	0.7293333333333333	0.6466666666666666
F4_T1_y2014_seqrunA	0.5866666666666667	0.228	0.652	0.148	0.0	0.356	0.6706666666666666	0.608
E2_T1_y2014_seqrunA	0.39066666666666666	0.33466666666666667	0.4573333333333333	0.39466666666666667	0.356	0.0	0.4653333333333333	0.5826666666666667
E5_T1_y2014_seqrunA	0.2906666666666667	0.5893333333333334	0.43066666666666664	0.7293333333333333	0.6706666666666666	0.4653333333333333	0.0	0.5773333333333334
E9_T1_y2014_seqrunA	0.62	0.5653333333333334	0.6746666666666666	0.6466666666666666	0.608	0.5826666666666667	0.5773333333333334	0.0
