	F1_T3_y2016_seqrunA	F10_T3_y2016_seqrunA	F2_T3_y2016_seqrunA	F3_T3_y2016_seqrunA	F4_T3_y2016_seqrunA	F5_T3_y2016_seqrunA	F6_T3_y2016_seqrunA	F7_T3_y2016_seqrunA	F8_T3_y2016_seqrunA	F9_T3_y2016_seqrunA	S1_T3_y2016_seqrunA	S10_T3_y2016_seqrunA	S3_T3_y2016_seqrunA	S4_T3_y2016_seqrunA	S5_T3_y2016_seqrunA	S6_T3_y2016_seqrunA	S7_T3_y2016_seqrunA	S8_T3_y2016_seqrunA	S9_T3_y2016_seqrunA
F1_T3_y2016_seqrunA	0	0.1685174852609634	0.190046563744545	0.1256454139947891	0.20646633207798	0.169273853302002	0.1431482136249542	0.1582461446523666	0.1705797165632248	0.37238410115242	0.2877038717269897	0.1366525739431381	0.1417476683855057	0.1445706188678741	0.1018004566431046	0.1881426572799683	0.1362206786870956	0.1554522514343262	0.07703325897455215
F10_T3_y2016_seqrunA	0.1685174852609634	0	0.1795690059661865	0.192439928650856	0.2807548642158508	0.2380212098360062	0.1490412503480911	0.2278835028409958	0.206446036696434	0.4648908674716949	0.3053851127624512	0.1094551160931587	0.1862500607967377	0.07215236127376556	0.1811036914587021	0.1318399459123611	0.1487363278865814	0.09904509782791138	0.1348393857479095
F2_T3_y2016_seqrunA	0.190046563744545	0.1795690059661865	0	0.2535133063793182	0.2192234694957733	0.1657549738883972	0.08214472979307175	0.1527566760778427	0.08911553770303726	0.416257381439209	0.1506381332874298	0.1223967224359512	0.1169084832072258	0.1606606245040894	0.1706358045339584	0.1054830253124237	0.1078560426831245	0.1252234131097794	0.137298509478569
F3_T3_y2016_seqrunA	0.1256454139947891	0.192439928650856	0.2535133063793182	0	0.2617447972297668	0.2274250835180283	0.186523050069809	0.2167789340019226	0.2142213732004166	0.3787012100219727	0.3276868760585785	0.1931914538145065	0.1859823614358902	0.2170176059007645	0.1582424193620682	0.1938733756542206	0.1623411029577255	0.1782115697860718	0.1345961689949036
F4_T3_y2016_seqrunA	0.20646633207798	0.2807548642158508	0.2192234694957733	0.2617447972297668	0	0.1065204441547394	0.1844073534011841	0.08499165624380112	0.1495890319347382	0.405084639787674	0.1847249418497086	0.2317328453063965	0.1314630210399628	0.2653861939907074	0.1322234570980072	0.2454578578472137	0.1616781502962112	0.2414849847555161	0.1681275367736816
F5_T3_y2016_seqrunA	0.169273853302002	0.2380212098360062	0.1657549738883972	0.2274250835180283	0.1065204441547394	0	0.1349505633115768	0.05934634059667587	0.1185498684644699	0.3759080171585083	0.213232696056366	0.1609705686569214	0.1195103600621223	0.2166041135787964	0.1174650192260742	0.1763242334127426	0.1165340915322304	0.1810009777545929	0.1340590715408325
F6_T3_y2016_seqrunA	0.1431482136249542	0.1490412503480911	0.08214472979307175	0.186523050069809	0.1844073534011841	0.1349505633115768	0	0.1135912835597992	0.07506661862134933	0.3981438875198364	0.1806639581918716	0.07743724435567856	0.07446321099996567	0.1383217722177505	0.1144181713461876	0.07271940261125565	0.0690879300236702	0.08871334046125412	0.08161608129739761
F7_T3_y2016_seqrunA	0.1582461446523666	0.2278835028409958	0.1527566760778427	0.2167789340019226	0.08499165624380112	0.05934634059667587	0.1135912835597992	0	0.07977492362260818	0.3847370147705078	0.17963045835495	0.1572002172470093	0.076433464884758	0.2104983329772949	0.08510714024305344	0.1705669015645981	0.1000586599111557	0.1762482523918152	0.1153360083699226
F8_T3_y2016_seqrunA	0.1705797165632248	0.206446036696434	0.08911553770303726	0.2142213732004166	0.1495890319347382	0.1185498684644699	0.07506661862134933	0.07977492362260818	0	0.3834447860717773	0.1478929370641708	0.1312224864959717	0.06126809492707253	0.1888104975223541	0.1222029849886894	0.119826152920723	0.07499755173921585	0.1498003005981445	0.1072115823626518
F9_T3_y2016_seqrunA	0.37238410115242	0.4648908674716949	0.416257381439209	0.3787012100219727	0.405084639787674	0.3759080171585083	0.3981438875198364	0.3847370147705078	0.3834447860717773	0	0.4495544731616974	0.4280828535556793	0.3799509108066559	0.4326479732990265	0.3875053524971008	0.4350622892379761	0.3785826861858368	0.4383068978786469	0.3734719157218933
