# Constructed from biom file
#OTU ID	E2_T2_y2014_seqrunA	E5_T2_y2014_seqrunA	E7_T2_y2014_seqrunA	E9_T2_y2014_seqrunA	F10_T2_y2014_seqrunA	F2_T2_y2014_seqrunA	F3_T2_y2014_seqrunA	F4_T2_y2014_seqrunA
b95586fc02f56e7385091ec01aca5237	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
fe60fdd97644302f7169f1d109c70575	0.0	0.0	6.0	9.0	0.0	0.0	1.0	0.0
8aa69f02826f9fddad8119450f3307c2	0.0	0.0	0.0	0.0	0.0	1.0	30.0	0.0
8dfd173cb6813b3de7e3cac270e00969	62.0	38.0	63.0	11.0	59.0	38.0	100.0	3.0
1fe356e985ca94ea4663e8cfb1a9b9a9	0.0	0.0	2.0	12.0	0.0	0.0	0.0	1.0
990cdfb9e4f800f6edd5246090648821	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
f8f62c53b4ef7fd050b4f0569887fb26	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0
df18303ebe3e31944fbe3a2d6a9443a9	0.0	0.0	0.0	0.0	8.0	0.0	10.0	1.0
3ba6b3ca8f3bb22d51e7590d26121f0a	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
dd2abb03caffa6424768fcbf04afe2e2	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
7195dda171a48c933469c2eb14a81a3c	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
52a5e7367138a20a9a79ff93234f21a5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
6a469ff683e34aacf59a6043fcde978f	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0
067c8ea21dca4ffdadd685c73f0c8ca6	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
ae86bf2d91044c461e91bb5bee50ebab	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
c9a1ecf1bb82b8620efef2775503d785	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
13bd3a798535382a1682ed832415fd91	7.0	0.0	62.0	28.0	6.0	4.0	0.0	16.0
35fba79fe5eb0b47aa88930c907a87a7	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0
169beec8b5caf827666d2cdb952ea532	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
66f2adffe7aabf778a19bf24c90eedb9	0.0	6.0	5.0	26.0	0.0	3.0	0.0	6.0
49a7123db5cb688821fdf91ce276fd50	4.0	3.0	8.0	5.0	10.0	1.0	9.0	7.0
9dc4f19f80ba36c635a6d166859a2d8e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
da6645af535184afe6be4eb9942fa355	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
5fde5a7b5e65c315f107dc3e08d57b1d	0.0	0.0	16.0	5.0	40.0	0.0	0.0	0.0
ae7d08c256e2346c0ab650fb7ecab7f6	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
