	E2_T3_y2014_seqrunA	E5_T3_y2014_seqrunA	E7_T3_y2014_seqrunA	E9_T3_y2014_seqrunA	F10_T3_y2014_seqrunA	F2_T3_y2014_seqrunA	F3_T3_y2014_seqrunA	F4_T3_y2014_seqrunA
E2_T3_y2014_seqrunA	0	0.3764025270938873	0.5036750435829163	0.5413145422935486	0.4022536873817444	0.3586041629314423	0.3604823350906372	0.4797756373882294
E5_T3_y2014_seqrunA	0.3764025270938873	0	0.4552421271800995	0.5411263108253479	0.4286381900310516	0.3610269725322723	0.3474427461624146	0.4991052448749542
E7_T3_y2014_seqrunA	0.5036750435829163	0.4552421271800995	0	0.3961445391178131	0.596470057964325	0.50428706407547	0.5244289040565491	0.6303688287734985
E9_T3_y2014_seqrunA	0.5413145422935486	0.5411263108253479	0.3961445391178131	0	0.6141737103462219	0.5224868059158325	0.543773889541626	0.6609821915626526
F10_T3_y2014_seqrunA	0.4022536873817444	0.4286381900310516	0.596470057964325	0.6141737103462219	0	0.2142740190029144	0.224365621805191	0.1697282642126083
F2_T3_y2014_seqrunA	0.3586041629314423	0.3610269725322723	0.50428706407547	0.5224868059158325	0.2142740190029144	0	0.140462651848793	0.3099289834499359
F3_T3_y2014_seqrunA	0.3604823350906372	0.3474427461624146	0.5244289040565491	0.543773889541626	0.224365621805191	0.140462651848793	0	0.2737394571304321
F4_T3_y2014_seqrunA	0.4797756373882294	0.4991052448749542	0.6303688287734985	0.6609821915626526	0.1697282642126083	0.3099289834499359	0.2737394571304321	0
