	E2_T3_y2014_seqrunA	E5_T3_y2014_seqrunA	E7_T3_y2014_seqrunA	E9_T3_y2014_seqrunA	F10_T3_y2014_seqrunA	F2_T3_y2014_seqrunA	F3_T3_y2014_seqrunA	F4_T3_y2014_seqrunA
E2_T3_y2014_seqrunA	0.0	0.4013333333333333	0.6786666666666666	0.772	0.5266666666666666	0.5146666666666667	0.6626666666666666	0.584
E5_T3_y2014_seqrunA	0.4013333333333333	0.0	0.7186666666666667	0.7533333333333333	0.5906666666666667	0.46266666666666667	0.5946666666666667	0.5026666666666667
E7_T3_y2014_seqrunA	0.6786666666666666	0.7186666666666667	0.0	0.5306666666666666	0.7466666666666667	0.7186666666666667	0.7373333333333333	0.74
E9_T3_y2014_seqrunA	0.772	0.7533333333333333	0.5306666666666666	0.0	0.7346666666666667	0.7106666666666667	0.7	0.7946666666666666
F10_T3_y2014_seqrunA	0.5266666666666666	0.5906666666666667	0.7466666666666667	0.7346666666666667	0.0	0.31866666666666665	0.37333333333333335	0.408
F2_T3_y2014_seqrunA	0.5146666666666667	0.46266666666666667	0.7186666666666667	0.7106666666666667	0.31866666666666665	0.0	0.3973333333333333	0.37333333333333335
F3_T3_y2014_seqrunA	0.6626666666666666	0.5946666666666667	0.7373333333333333	0.7	0.37333333333333335	0.3973333333333333	0.0	0.36666666666666664
F4_T3_y2014_seqrunA	0.584	0.5026666666666667	0.74	0.7946666666666666	0.408	0.37333333333333335	0.36666666666666664	0.0
