	b-1-t1-female-a	b-1-t1-female-c	b-1-t1-female-d	b-1-t1-male-a	b-1-t1-male-b	b-1-t1-male-c	b-1-t1-male-d	b-1-t2-female-a	b-1-t2-female-b	b-1-t2-male-a	b-1-t2-male-b	b-1-t2-male-c	b-1-t3-female-a	b-1-t3-female-b	b-1-t3-female-c	b-1-t3-female-d	b-1-t3-male-a	b-1-t3-male-b	b-1-t3-male-c	b-1-t3-male-d	b-2-t1-female-a	b-2-t1-female-b	b-2-t1-female-c	b-2-t1-female-d	b-2-t1-male-a	b-2-t1-male-b	b-2-t1-male-c	b-2-t1-male-d	b-2-t2-female-aA	b-2-t2-female-aB	b-2-t2-female-bA	b-2-t2-female-bB	b-2-t2-female-cA	b-2-t2-female-cB	b-2-t2-female-d	b-2-t2-male-a	b-2-t2-male-a-9flies	b-2-t2-male-b-9fliese	b-2-t2-male-c	b-2-t3-female-a	b-2-t3-female-c	b-2-t3-female-d	b-2-t3-male-a	b-2-t3-male-c	b-2-t3-male-d	b-3-t1-female-a	b-3-t1-female-b	b-3-t1-female-c	b-3-t1-female-d	b-3-t1-male-a	b-3-t1-male-b	b-3-t1-male-c	b-3-t1-male-d	b-3-t3-female-a	b-3-t3-female-b	b-3-t3-female-c	b-3-t3-male-b	b-3-t3-male-c	b-3-t3-male-d	b-4-t1-female-a	b-4-t1-female-b	b-4-t1-female-c	b-4-t1-female-d	b-4-t1-male-a	b-4-t1-male-b	b-4-t2-female-a	b-4-t2-female-c	b-4-t2-female-d	b-4-t2-male-a	b-4-t3-female-c	b-4-t3-female-d	b-4-t3-fmale-a	b-4-t3-male-a	b-4-t3-male-c	e-11-t1-female-a	e-11-t1-female-b	e-11-t1-male-a	e-11-t1-male-b	e-11-t2-female-b	e-11-t2-male-a	e-11-t2-male-b	e-11-t3-female-a	e-11-t3-female-b	e-11-t3-male-a	e-11-t3-male-b	e-13-t1-female-a	e-13-t1-female-b	e-13-t1-male-a	e-13-t1-male-b	e-13-t2-female-a	e-13-t2-female-b	e-13-t2-male-a	e-13-t2-male-b	e-13-t3-female-a	e-13-t3-female-b	e-13-t3-male-a	e-14-t1-female-a	e-14-t1-male-a	e-14-t1-male-b	e-14-t2-female-a	e-14-t2-male-a	e-14-t3-female-a	e-14-t3-male-a	e-16-t1-female-a	e-16-t1-female-b	e-16-t1-male-a	e-16-t1-male-b	e-16-t2-feamle-b	e-16-t2-female-a	e-16-t2-male-a	e-16-t2-male-b	e-16-t3-female-a	e-16-t3-female-b	e-16-t3-male-a	e-16-t3-male-b	e-17-t1-female-a	e-17-t1-female-b	e-17-t1-male-a	e-17-t1-male-b	e-17-t2-female-a	e-17-t2-male-b	e-17-t3-female-b	e-17-t3-male-a	e-17-t3-male-b	e-17-tz-female-b	e-19-t1-female-a	e-19-t1-male-a	e-19-t1-male-b	e-19-t2-female-a	e-19-t2-female-b	e-19-t2-male-a	e-19-t2-male-b	e-19-t3-female-a	e-19-t3-female-b	e-19-t3-male-a	e-19-t3-male-b	e-23-t1-female-b	e-23-t1-male-a	e-23-t2-female-a	e-23-t2-female-b	e-23-t2-male-a	e-23-t3-male-a	e-30-t1-female-a	e-30-t1-female-b	e-30-t1-male-a	e-30-t1-male-b	e-30-t2-female-a	e-30-t2-female-b	e-30-t2-male-a	e-30-t2-male-b	e-30-t3-female-a	e-30-t3-female-b	e-30-t3-male-a	e-30-t3-male-b	ep-23-t3-female-a	f-15-t1-female-1	f-15-t1-female-2	f-15-t1-male-1	f-15-t1-male-2	f-15-t2-female-1	f-15-t2-female-2	f-15-t2-male-1	f-15-t2-male-2	f-15-t3-female-1	f-15-t3-female-2	f-15-t3-male-1	f-15-t3-male-2	f-20-t1-female-1	f-20-t1-female-2	f-20-t1-male-1	f-20-t1-male-2	f-20-t2-female-1	f-20-t2-female-2	f-20-t2-male-1	f-20-t2-male-2	f-20-t3-female-1	f-20-t3-female-2	f-20-t3-male-1	f-21-t2-female-1	f-21-t2-female-2	f-21-t2-male-1	f-21-t2-male-2	f-21-t3-female-1	f-21-t3-female-2	f-21-t3-male-1	f-21-t3-male-2	f-25-t1-female-1	f-25-t1-female-2	f-25-t1-male-1	f-25-t1-male-2	f-25-t2-female-1	f-25-t2-female-2	f-25-t2-male-1	f-25-t2-male-2	f-25-t3-female-1	f-25-t3-female-2	f-25-t3-male-1	f-25-t3-male-2	f-28-t1-female-1	f-28-t1-female-2	f-28-t1-male-1	f-28-t1-male-2	f-28-t2-female-1	f-28-t2-female-2	f-28-t2-male-1	f-28-t2-male-2	f-28-t3-female-1	f-28-t3-female-2	f-28-t3-male-1	f-28-t3-male-2	f-3-t2-female-1	f-3-t2-male-1	f-3-t3-female-1	f-3-t3-female-2	f-3-t3-male-1	f-3-t3-male-2	f-31-t1-female-1	f-31-t1-female-2	f-31-t1-male-1	f-31-t1-male-2	f-31-t2-female-1	f-31-t2-female-2	f-31-t2-male-1	f-31-t2-male-2	f-31-t3-female-1	f-31-t3-female-2	f-31-t3-male-1	f-31-t3-male-2	f-4-t2-female-1	f-4-t2-male-1	f-4-t3-female-2	f-4-t3-male-1	f-4-t3-male-2
b-1-t1-female-a	0.0	0.31466666666666665	0.452	0.44266666666666665	0.45866666666666667	0.7533333333333333	0.3506666666666667	0.908	0.7106666666666667	0.8133333333333334	0.848	0.8213333333333334	0.8946666666666667	0.8346666666666667	0.9213333333333333	0.84	0.7773333333333333	0.6746666666666666	0.7946666666666666	0.7826666666666666	0.8853333333333333	0.7986666666666666	0.852	0.8866666666666667	0.8453333333333334	0.736	0.864	0.6626666666666666	0.6146666666666667	0.852	0.768	0.928	0.8066666666666666	0.6866666666666666	0.7933333333333333	0.844	0.7226666666666667	0.7706666666666667	0.8853333333333333	0.8666666666666667	0.9186666666666666	0.828	0.8306666666666667	0.876	0.7506666666666667	0.796	0.48933333333333334	0.8226666666666667	0.6866666666666666	0.7906666666666666	0.5546666666666666	0.48933333333333334	0.8253333333333334	0.9133333333333333	0.8906666666666667	0.8453333333333334	0.84	0.7453333333333333	0.9293333333333333	0.6906666666666667	0.6586666666666666	0.76	0.7573333333333333	0.6546666666666666	0.672	0.8	0.7333333333333333	0.7466666666666667	0.7546666666666667	0.7506666666666667	0.9	0.8733333333333333	0.7346666666666667	0.8906666666666667	0.78	0.9533333333333334	0.7413333333333333	0.7693333333333333	0.33866666666666667	0.4573333333333333	0.5426666666666666	0.8733333333333333	0.7893333333333333	0.736	0.7413333333333333	0.6866666666666666	0.652	0.784	0.6853333333333333	0.47733333333333333	0.37466666666666665	0.564	0.7	0.6106666666666667	0.608	0.868	0.724	0.7466666666666667	0.6813333333333333	0.504	0.44666666666666666	0.7693333333333333	0.8106666666666666	0.76	0.6573333333333333	0.7506666666666667	0.6866666666666666	0.78	0.488	0.396	0.62	0.7826666666666666	0.832	0.6533333333333333	0.6626666666666666	0.7346666666666667	0.7533333333333333	0.732	0.8626666666666667	0.548	0.612	0.78	0.7733333333333333	0.756	0.6066666666666667	0.7053333333333334	0.7773333333333333	0.62	0.5226666666666666	0.4666666666666667	0.6613333333333333	0.37733333333333335	0.6293333333333333	0.7546666666666667	0.6853333333333333	0.82	0.5266666666666666	0.5893333333333334	0.6146666666666667	0.7933333333333333	0.5706666666666667	0.6973333333333334	0.552	0.548	0.6026666666666667	0.5813333333333334	0.5093333333333333	0.5413333333333333	0.5333333333333333	0.536	0.6133333333333333	0.7266666666666667	0.5333333333333333	0.572	0.472	0.5386666666666666	0.5546666666666666	0.476	0.568	0.64	0.5533333333333333	0.4866666666666667	0.528	0.7293333333333333	0.7266666666666667	0.7853333333333333	0.8173333333333334	0.724	0.752	0.668	0.6333333333333333	0.7	0.7813333333333333	0.7986666666666666	0.816	0.8813333333333333	0.6973333333333334	0.9453333333333334	0.8146666666666667	0.82	0.808	0.7573333333333333	0.6893333333333334	0.6893333333333334	0.688	0.6893333333333334	0.8853333333333333	0.7786666666666666	0.756	0.7626666666666667	0.8106666666666666	0.74	0.808	0.7546666666666667	0.7533333333333333	0.688	0.8346666666666667	0.8066666666666666	0.7866666666666666	0.5693333333333334	0.528	0.5773333333333334	0.6346666666666667	0.6	0.5413333333333333	0.7453333333333333	0.956	0.868	0.9546666666666667	0.9706666666666667	0.796	0.8	0.68	0.676	0.6746666666666666	0.764	0.6866666666666666	0.6693333333333333	0.6973333333333334	0.78	0.7453333333333333	0.724	0.7106666666666667	0.6666666666666666	0.7133333333333334	0.8853333333333333	0.9146666666666666	0.904	0.7946666666666666	0.684	0.6813333333333333	0.7066666666666667	0.6853333333333333
b-1-t1-female-c	0.31466666666666665	0.0	0.5213333333333333	0.528	0.5533333333333333	0.836	0.46	0.8733333333333333	0.6506666666666666	0.7826666666666666	0.804	0.7586666666666667	0.828	0.74	0.88	0.776	0.5946666666666667	0.5	0.648	0.7093333333333334	0.8706666666666667	0.7853333333333333	0.8293333333333334	0.8733333333333333	0.8306666666666667	0.7146666666666667	0.8506666666666667	0.6466666666666666	0.616	0.788	0.636	0.8933333333333333	0.7426666666666667	0.652	0.7093333333333334	0.824	0.6306666666666667	0.7106666666666667	0.8626666666666667	0.8093333333333333	0.8853333333333333	0.756	0.7906666666666666	0.8413333333333334	0.6186666666666667	0.792	0.5426666666666666	0.812	0.68	0.7693333333333333	0.492	0.44533333333333336	0.8093333333333333	0.892	0.8626666666666667	0.7986666666666666	0.7746666666666666	0.64	0.9093333333333333	0.7546666666666667	0.7226666666666667	0.8373333333333334	0.848	0.736	0.764	0.7546666666666667	0.668	0.6626666666666666	0.7013333333333334	0.8093333333333333	0.86	0.8626666666666667	0.5906666666666667	0.876	0.7546666666666667	0.9546666666666667	0.744	0.772	0.48133333333333334	0.5013333333333333	0.636	0.8586666666666667	0.7426666666666667	0.6866666666666666	0.7093333333333334	0.632	0.5853333333333334	0.78	0.676	0.5853333333333334	0.5373333333333333	0.6786666666666666	0.648	0.7266666666666667	0.648	0.836	0.712	0.7	0.656	0.6133333333333333	0.42933333333333334	0.7253333333333334	0.7986666666666666	0.7506666666666667	0.668	0.7546666666666667	0.7026666666666667	0.7973333333333333	0.6213333333333333	0.5533333333333333	0.6066666666666667	0.8533333333333334	0.8333333333333334	0.7186666666666667	0.7293333333333333	0.732	0.748	0.7333333333333333	0.8573333333333333	0.5626666666666666	0.6573333333333333	0.6946666666666667	0.712	0.7066666666666667	0.7253333333333334	0.676	0.7693333333333333	0.6733333333333333	0.468	0.564	0.652	0.4653333333333333	0.72	0.684	0.6706666666666666	0.7346666666666667	0.5146666666666667	0.5626666666666666	0.5813333333333334	0.7773333333333333	0.676	0.6373333333333333	0.656	0.6706666666666666	0.672	0.5826666666666667	0.5586666666666666	0.5733333333333334	0.47733333333333333	0.6013333333333334	0.752	0.7746666666666666	0.7013333333333334	0.7	0.584	0.5853333333333334	0.5413333333333333	0.5066666666666667	0.5333333333333333	0.644	0.5066666666666667	0.4866666666666667	0.46266666666666667	0.6893333333333334	0.6986666666666667	0.7346666666666667	0.7666666666666667	0.7066666666666667	0.752	0.6226666666666667	0.556	0.6546666666666666	0.764	0.7866666666666666	0.78	0.8306666666666667	0.6986666666666667	0.8946666666666667	0.8053333333333333	0.812	0.8013333333333333	0.7373333333333333	0.6986666666666667	0.6986666666666667	0.6973333333333334	0.6986666666666667	0.8666666666666667	0.7506666666666667	0.7533333333333333	0.7293333333333333	0.7906666666666666	0.728	0.7946666666666666	0.716	0.7026666666666667	0.6946666666666667	0.768	0.74	0.7666666666666667	0.6706666666666666	0.6426666666666667	0.6133333333333333	0.6106666666666667	0.7173333333333334	0.6333333333333333	0.7133333333333334	0.9053333333333333	0.8173333333333334	0.9026666666666666	0.92	0.7426666666666667	0.7626666666666667	0.6893333333333334	0.6853333333333333	0.68	0.7133333333333334	0.6693333333333333	0.6146666666666667	0.6213333333333333	0.764	0.7066666666666667	0.712	0.6933333333333334	0.648	0.6986666666666667	0.8346666666666667	0.864	0.8533333333333334	0.7866666666666666	0.6266666666666667	0.6573333333333333	0.6893333333333334	0.696
b-1-t1-female-d	0.452	0.5213333333333333	0.0	0.19066666666666668	0.224	0.344	0.25333333333333335	0.9093333333333333	0.756	0.8373333333333334	0.848	0.8253333333333334	0.896	0.8533333333333334	0.9226666666666666	0.8426666666666667	0.828	0.7586666666666667	0.8266666666666667	0.8333333333333334	0.8866666666666667	0.808	0.8533333333333334	0.888	0.8466666666666667	0.7933333333333333	0.864	0.7293333333333333	0.644	0.8533333333333334	0.7426666666666667	0.9293333333333333	0.808	0.7533333333333333	0.772	0.8453333333333334	0.7226666666666667	0.7506666666666667	0.8866666666666667	0.8693333333333333	0.9186666666666666	0.8293333333333334	0.8333333333333334	0.8813333333333333	0.74	0.8146666666666667	0.7293333333333333	0.8226666666666667	0.7506666666666667	0.7986666666666666	0.7026666666666667	0.6773333333333333	0.8266666666666667	0.916	0.8946666666666667	0.864	0.876	0.8106666666666666	0.9306666666666666	0.2826666666666667	0.256	0.34933333333333333	0.348	0.27466666666666667	0.2773333333333333	0.804	0.756	0.7306666666666667	0.7853333333333333	0.7533333333333333	0.9013333333333333	0.8746666666666667	0.7253333333333334	0.892	0.8226666666666667	0.9546666666666667	0.82	0.8466666666666667	0.6666666666666666	0.6786666666666666	0.6653333333333333	0.8733333333333333	0.8013333333333333	0.7586666666666667	0.7693333333333333	0.772	0.76	0.8546666666666667	0.764	0.6826666666666666	0.7266666666666667	0.72	0.7293333333333333	0.7693333333333333	0.736	0.84	0.8173333333333334	0.8466666666666667	0.7733333333333333	0.7146666666666667	0.6493333333333333	0.788	0.8186666666666667	0.8333333333333334	0.7253333333333334	0.816	0.7853333333333333	0.808	0.7226666666666667	0.7146666666666667	0.6653333333333333	0.8586666666666667	0.8306666666666667	0.788	0.772	0.8173333333333334	0.792	0.8213333333333334	0.9053333333333333	0.6493333333333333	0.732	0.764	0.792	0.772	0.7666666666666667	0.788	0.8453333333333334	0.6853333333333333	0.5546666666666666	0.6026666666666667	0.6733333333333333	0.6546666666666666	0.7693333333333333	0.744	0.7146666666666667	0.8	0.7493333333333333	0.744	0.668	0.784	0.7146666666666667	0.7226666666666667	0.7493333333333333	0.764	0.752	0.8146666666666667	0.7106666666666667	0.676	0.6813333333333333	0.6826666666666666	0.7053333333333334	0.7746666666666666	0.6933333333333334	0.732	0.608	0.6626666666666666	0.656	0.6213333333333333	0.648	0.7173333333333334	0.648	0.7013333333333334	0.6173333333333333	0.88	0.8813333333333333	0.8813333333333333	0.8813333333333333	0.776	0.824	0.7253333333333334	0.6906666666666667	0.7506666666666667	0.8333333333333334	0.8533333333333334	0.84	0.8813333333333333	0.8813333333333333	0.9453333333333334	0.8653333333333333	0.8973333333333333	0.8853333333333333	0.8413333333333334	0.8813333333333333	0.8813333333333333	0.88	0.8813333333333333	0.8986666666666666	0.856	0.8346666666666667	0.8426666666666667	0.832	0.824	0.876	0.8386666666666667	0.8813333333333333	0.88	0.88	0.88	0.8266666666666667	0.7773333333333333	0.7333333333333333	0.7346666666666667	0.7306666666666667	0.8106666666666666	0.728	0.8093333333333333	0.956	0.8813333333333333	0.9546666666666667	0.9706666666666667	0.8733333333333333	0.8853333333333333	0.872	0.868	0.8666666666666667	0.88	0.7653333333333333	0.7	0.7493333333333333	0.816	0.8173333333333334	0.7893333333333333	0.7893333333333333	0.7426666666666667	0.8813333333333333	0.8853333333333333	0.9146666666666666	0.904	0.8573333333333333	0.764	0.8493333333333334	0.8733333333333333	0.8786666666666667
b-1-t1-male-a	0.44266666666666665	0.528	0.19066666666666668	0.0	0.14	0.3333333333333333	0.212	0.9613333333333334	0.792	0.8986666666666666	0.9013333333333333	0.892	0.9533333333333334	0.9146666666666666	0.9733333333333334	0.9	0.8426666666666667	0.7426666666666667	0.8786666666666667	0.8653333333333333	0.9293333333333333	0.8453333333333334	0.888	0.932	0.888	0.772	0.908	0.7213333333333334	0.6773333333333333	0.9	0.836	0.9733333333333334	0.8613333333333333	0.768	0.856	0.896	0.7786666666666666	0.828	0.932	0.9146666666666666	0.964	0.876	0.8773333333333333	0.9213333333333333	0.8053333333333333	0.8506666666666667	0.664	0.872	0.7426666666666667	0.828	0.6426666666666667	0.6146666666666667	0.8693333333333333	0.9626666666666667	0.9373333333333334	0.908	0.9173333333333333	0.896	0.976	0.32133333333333336	0.25866666666666666	0.34933333333333333	0.344	0.25333333333333335	0.288	0.872	0.788	0.8266666666666667	0.812	0.7973333333333333	0.948	0.92	0.7986666666666666	0.9426666666666667	0.892	0.9813333333333333	0.896	0.888	0.6186666666666667	0.676	0.784	0.9413333333333334	0.8986666666666666	0.8626666666666667	0.8706666666666667	0.8506666666666667	0.7706666666666667	0.868	0.8573333333333333	0.724	0.64	0.8266666666666667	0.856	0.864	0.86	0.9186666666666666	0.912	0.8946666666666667	0.8386666666666667	0.7546666666666667	0.6346666666666667	0.8933333333333333	0.9213333333333333	0.92	0.84	0.9186666666666666	0.852	0.8946666666666667	0.724	0.6386666666666667	0.7826666666666666	0.9293333333333333	0.8946666666666667	0.896	0.912	0.892	0.8546666666666667	0.9293333333333333	0.9573333333333334	0.7786666666666666	0.872	0.8973333333333333	0.868	0.864	0.844	0.8093333333333333	0.852	0.6946666666666667	0.6626666666666666	0.7213333333333334	0.7386666666666667	0.6346666666666667	0.8466666666666667	0.8013333333333333	0.7626666666666667	0.8946666666666667	0.7306666666666667	0.7573333333333333	0.8013333333333333	0.8626666666666667	0.8	0.8173333333333334	0.808	0.8333333333333334	0.8226666666666667	0.8906666666666667	0.7133333333333334	0.7133333333333334	0.632	0.7573333333333333	0.772	0.8426666666666667	0.7426666666666667	0.792	0.7106666666666667	0.8133333333333334	0.7653333333333333	0.704	0.7826666666666666	0.7946666666666666	0.792	0.6533333333333333	0.7133333333333334	0.7346666666666667	0.744	0.7893333333333333	0.8213333333333334	0.888	0.8973333333333333	0.848	0.816	0.8626666666666667	0.8986666666666666	0.9093333333333333	0.9093333333333333	0.8853333333333333	0.744	0.952	0.9253333333333333	0.9093333333333333	0.8933333333333333	0.9133333333333333	0.744	0.744	0.7426666666666667	0.744	0.932	0.904	0.8973333333333333	0.9026666666666666	0.8786666666666667	0.8746666666666667	0.928	0.9066666666666666	0.7573333333333333	0.74	0.828	0.8	0.9066666666666666	0.8546666666666667	0.836	0.856	0.836	0.8933333333333333	0.8213333333333334	0.8933333333333333	0.96	0.872	0.9573333333333334	0.9746666666666667	0.884	0.8946666666666667	0.7386666666666667	0.7386666666666667	0.7346666666666667	0.768	0.84	0.796	0.844	0.8906666666666667	0.8653333333333333	0.852	0.8453333333333334	0.8226666666666667	0.744	0.8893333333333333	0.9186666666666666	0.908	0.9266666666666666	0.7746666666666666	0.7373333333333333	0.736	0.7386666666666667
b-1-t1-male-b	0.45866666666666667	0.5533333333333333	0.224	0.14	0.0	0.38666666666666666	0.204	0.9453333333333334	0.776	0.8906666666666667	0.8853333333333333	0.8813333333333333	0.936	0.904	0.956	0.9	0.788	0.7306666666666667	0.8373333333333334	0.828	0.9253333333333333	0.84	0.8906666666666667	0.9373333333333334	0.8853333333333333	0.7853333333333333	0.908	0.7386666666666667	0.6933333333333334	0.8973333333333333	0.844	0.964	0.8706666666666667	0.752	0.8746666666666667	0.8946666666666667	0.7986666666666666	0.8466666666666667	0.92	0.9053333333333333	0.9533333333333334	0.9026666666666666	0.8693333333333333	0.9186666666666666	0.8266666666666667	0.8386666666666667	0.7133333333333334	0.892	0.7573333333333333	0.836	0.6853333333333333	0.6666666666666666	0.8613333333333333	0.9613333333333334	0.9306666666666666	0.9026666666666666	0.9093333333333333	0.872	0.9653333333333334	0.36133333333333334	0.288	0.3893333333333333	0.39066666666666666	0.24266666666666667	0.33866666666666667	0.8466666666666667	0.7693333333333333	0.8346666666666667	0.7933333333333333	0.784	0.9346666666666666	0.932	0.7893333333333333	0.928	0.8493333333333334	0.956	0.788	0.7786666666666666	0.6706666666666666	0.676	0.8	0.94	0.9173333333333333	0.8533333333333334	0.856	0.748	0.6773333333333333	0.7653333333333333	0.7466666666666667	0.688	0.5946666666666667	0.8066666666666666	0.8613333333333333	0.824	0.8573333333333333	0.9346666666666666	0.8213333333333334	0.7706666666666667	0.728	0.704	0.6666666666666666	0.9	0.9053333333333333	0.8413333333333334	0.7613333333333333	0.8493333333333334	0.7733333333333333	0.8773333333333333	0.6786666666666666	0.6373333333333333	0.7493333333333333	0.9213333333333333	0.9066666666666666	0.8813333333333333	0.9186666666666666	0.8346666666666667	0.804	0.8706666666666667	0.9226666666666666	0.7413333333333333	0.852	0.9026666666666666	0.8573333333333333	0.8506666666666667	0.7853333333333333	0.6986666666666667	0.784	0.6186666666666667	0.6453333333333333	0.7106666666666667	0.7413333333333333	0.6373333333333333	0.8	0.816	0.7533333333333333	0.9106666666666666	0.6466666666666666	0.6626666666666666	0.7613333333333333	0.86	0.816	0.7746666666666666	0.7373333333333333	0.7653333333333333	0.72	0.8013333333333333	0.64	0.656	0.6506666666666666	0.736	0.76	0.8253333333333334	0.724	0.7493333333333333	0.648	0.8026666666666666	0.7173333333333334	0.6453333333333333	0.7266666666666667	0.7613333333333333	0.7386666666666667	0.5813333333333334	0.652	0.776	0.7786666666666666	0.7786666666666666	0.812	0.8573333333333333	0.8466666666666667	0.7853333333333333	0.7746666666666666	0.812	0.8626666666666667	0.8733333333333333	0.8973333333333333	0.876	0.7786666666666666	0.94	0.8733333333333333	0.808	0.7973333333333333	0.8026666666666666	0.7786666666666666	0.7786666666666666	0.7773333333333333	0.7786666666666666	0.896	0.8093333333333333	0.7866666666666666	0.7946666666666666	0.848	0.7786666666666666	0.8746666666666667	0.7946666666666666	0.7773333333333333	0.7773333333333333	0.8293333333333334	0.8013333333333333	0.8573333333333333	0.7493333333333333	0.7586666666666667	0.78	0.764	0.7866666666666666	0.7573333333333333	0.816	0.9493333333333334	0.8626666666666667	0.9493333333333334	0.9653333333333334	0.8306666666666667	0.7933333333333333	0.768	0.764	0.7653333333333333	0.7773333333333333	0.784	0.76	0.7746666666666666	0.88	0.7973333333333333	0.8213333333333334	0.7906666666666666	0.752	0.7786666666666666	0.88	0.9093333333333333	0.8986666666666666	0.8573333333333333	0.748	0.76	0.768	0.7706666666666667
b-1-t1-male-c	0.7533333333333333	0.836	0.344	0.3333333333333333	0.38666666666666666	0.0	0.49466666666666664	0.9653333333333334	0.8906666666666667	0.932	0.9306666666666666	0.9306666666666666	0.9706666666666667	0.9613333333333334	0.9813333333333333	0.9346666666666666	0.932	0.9306666666666666	0.9493333333333334	0.932	0.9453333333333334	0.9346666666666666	0.896	0.9533333333333334	0.9386666666666666	0.9266666666666666	0.936	0.9346666666666666	0.8173333333333334	0.932	0.932	0.98	0.9333333333333333	0.9333333333333333	0.8946666666666667	0.936	0.92	0.9213333333333333	0.9386666666666666	0.9253333333333333	0.9653333333333334	0.9226666666666666	0.932	0.944	0.9133333333333333	0.944	0.9333333333333333	0.9333333333333333	0.9226666666666666	0.928	0.936	0.924	0.932	0.968	0.9506666666666667	0.9373333333333334	0.956	0.9453333333333334	0.9826666666666667	0.144	0.15066666666666667	0.02666666666666667	0.025333333333333333	0.2	0.11466666666666667	0.9146666666666666	0.8906666666666667	0.9226666666666666	0.9293333333333333	0.804	0.9506666666666667	0.9506666666666667	0.9173333333333333	0.9533333333333334	0.9373333333333334	0.9946666666666667	0.964	0.956	0.9226666666666666	0.916	0.9106666666666666	0.9746666666666667	0.968	0.932	0.9346666666666666	0.948	0.9493333333333334	0.936	0.952	0.9146666666666666	0.932	0.9306666666666666	0.932	0.9493333333333334	0.9493333333333334	0.9693333333333334	0.964	0.964	0.94	0.9333333333333333	0.9306666666666666	0.9666666666666667	0.964	0.9786666666666667	0.9493333333333334	0.9586666666666667	0.9466666666666667	0.916	0.9	0.8813333333333333	0.908	0.9586666666666667	0.944	0.9666666666666667	0.9733333333333334	0.952	0.952	0.96	0.984	0.9306666666666666	0.9466666666666667	0.9706666666666667	0.964	0.9373333333333334	0.932	0.9493333333333334	0.9546666666666667	0.7986666666666666	0.84	0.8426666666666667	0.8706666666666667	0.9226666666666666	0.9106666666666666	0.8813333333333333	0.8866666666666667	0.9546666666666667	0.9533333333333334	0.952	0.932	0.9333333333333333	0.9053333333333333	0.9146666666666666	0.944	0.952	0.952	0.956	0.9293333333333333	0.932	0.932	0.932	0.8266666666666667	0.8746666666666667	0.84	0.8853333333333333	0.824	0.9266666666666666	0.9173333333333333	0.9213333333333333	0.924	0.932	0.9293333333333333	0.932	0.9306666666666666	0.9506666666666667	0.9586666666666667	0.9586666666666667	0.9586666666666667	0.9706666666666667	0.9626666666666667	0.952	0.932	0.956	0.9626666666666667	0.9666666666666667	0.9733333333333334	0.9586666666666667	0.9586666666666667	0.9586666666666667	0.984	0.976	0.9613333333333334	0.9813333333333333	0.9586666666666667	0.9586666666666667	0.9573333333333334	0.9586666666666667	0.9866666666666667	0.9666666666666667	0.9653333333333334	0.9706666666666667	0.964	0.952	0.988	0.9746666666666667	0.9586666666666667	0.9546666666666667	0.9506666666666667	0.9506666666666667	0.9666666666666667	0.9293333333333333	0.94	0.96	0.9386666666666666	0.964	0.924	0.96	0.96	0.9586666666666667	0.9573333333333334	0.9746666666666667	0.9546666666666667	0.9626666666666667	0.9586666666666667	0.9586666666666667	0.956	0.9586666666666667	0.9413333333333334	0.932	0.9453333333333334	0.9693333333333334	0.936	0.9386666666666666	0.9466666666666667	0.932	0.9586666666666667	0.9586666666666667	0.9586666666666667	0.9586666666666667	0.972	0.9346666666666666	0.9586666666666667	0.9546666666666667	0.9586666666666667
