	b1_t1_y2017_seqrunB	b2_t1_y2017_seqrunB	b3_t1_y2017_seqrunB	b4_t1_y2017_seqrunB	e11_t1_y2017_seqrunB	e13_t1_y2017_seqrunB	e14_t1_y2017_seqrunB	e16_t1_y2017_seqrunB	e17_t1_y2017_seqrunB	e19_t1_y2017_seqrunB	e23_t1_y2017_seqrunB	e30_t1_y2017_seqrunB	f15_t1_y2017_seqrunB	f20_t1_y2017_seqrunB	f25_t1_y2017_seqrunB	f28_t1_y2017_seqrunB	f31_t1_y2017_seqrunB
b1_t1_y2017_seqrunB	0	0.1674636900424957	0.0528889074921608	0.05379026383161545	0.4398134350776672	0.3662174046039581	0.5002866983413696	0.4707577526569366	0.5671437978744507	0.3117710649967194	0.3349989056587219	0.4265410304069519	0.4008915722370148	0.382113516330719	0.1734694838523865	0.3327593207359314	0.5124151110649109
b2_t1_y2017_seqrunB	0.1674636900424957	0	0.2034654319286346	0.2024757862091064	0.5263222455978394	0.4722237288951874	0.5774097442626953	0.5520972013473511	0.6330333948135376	0.4159253537654877	0.441523939371109	0.3882574439048767	0.502529501914978	0.4790501892566681	0.3055359423160553	0.4442266225814819	0.4860908091068268
b3_t1_y2017_seqrunB	0.0528889074921608	0.2034654319286346	0	0.06725925207138062	0.4580322504043579	0.3780344426631927	0.5063773989677429	0.4772806167602539	0.5712072253227234	0.3207319974899292	0.3192198276519775	0.4139555394649506	0.4155837893486023	0.3751428127288818	0.1988187879323959	0.3473405838012695	0.5172925591468811
b4_t1_y2017_seqrunB	0.05379026383161545	0.2024757862091064	0.06725925207138062	0	0.4606529474258423	0.3842617869377136	0.5075536370277405	0.4798541367053986	0.5736909508705139	0.3120472729206085	0.3440856039524078	0.4399446249008179	0.3984904289245605	0.3924254179000854	0.1751099079847336	0.3537635207176208	0.5316641330718994
e11_t1_y2017_seqrunB	0.4398134350776672	0.5263222455978394	0.4580322504043579	0.4606529474258423	0	0.2931401431560516	0.2910629212856293	0.2503810524940491	0.3575079739093781	0.4805257022380829	0.2610680460929871	0.4502099454402924	0.286086767911911	0.2878962755203247	0.3917207717895508	0.3494479358196259	0.4594062268733978
e13_t1_y2017_seqrunB	0.3662174046039581	0.4722237288951874	0.3780344426631927	0.3842617869377136	0.2931401431560516	0	0.3549562096595764	0.3247280418872833	0.4052902162075043	0.4224109053611755	0.2915641367435455	0.4052004814147949	0.3050909042358398	0.3088177740573883	0.3643073737621307	0.3617047667503357	0.4830284118652344
e14_t1_y2017_seqrunB	0.5002866983413696	0.5774097442626953	0.5063773989677429	0.5075536370277405	0.2910629212856293	0.3549562096595764	0	0.2677856087684631	0.3714002370834351	0.4360252618789673	0.3132668733596802	0.3918204009532928	0.329074889421463	0.3669793605804443	0.4790308773517609	0.4720342755317688	0.4508145451545715
e16_t1_y2017_seqrunB	0.4707577526569366	0.5520972013473511	0.4772806167602539	0.4798541367053986	0.2503810524940491	0.3247280418872833	0.2677856087684631	0	0.2670841813087463	0.3686710000038147	0.2680098414421082	0.4274241030216217	0.2986604869365692	0.3507255911827087	0.4249129593372345	0.4197679758071899	0.3467364907264709
e17_t1_y2017_seqrunB	0.5671437978744507	0.6330333948135376	0.5712072253227234	0.5736909508705139	0.3575079739093781	0.4052902162075043	0.3714002370834351	0.2670841813087463	0	0.5053302645683289	0.4251892268657684	0.5027889013290405	0.4328295588493347	0.3951280415058136	0.5292350053787231	0.5099734663963318	0.4181065857410431
e19_t1_y2017_seqrunB	0.3117710649967194	0.4159253537654877	0.3207319974899292	0.3120472729206085	0.4805257022380829	0.4224109053611755	0.4360252618789673	0.3686710000038147	0.5053302645683289	0	0.394654780626297	0.4213103950023651	0.4033624827861786	0.4240518808364868	0.3184005618095398	0.4065378308296204	0.4578745067119598
e23_t1_y2017_seqrunB	0.3349989056587219	0.441523939371109	0.3192198276519775	0.3440856039524078	0.2610680460929871	0.2915641367435455	0.3132668733596802	0.2680098414421082	0.4251892268657684	0.394654780626297	0	0.3565410673618317	0.3391280770301819	0.251591295003891	0.3053365349769592	0.354842334985733	0.4033659994602203
