	10N1	10N2	10N3	12N1	12N2	12N3	17N1	19N1	19N2	19N3	20N1	20N2	20N3	21N1	21N2	21N3	22N1	22N2	22N3	29N1	29N2	31N1	31N2	31N3	32N1	32N2	32N3	7N1	7N2	7N3	8N1	8N2	8N3	9N1	9N3
10N1	0.0	0.30278235334854736	0.08422789834273237	0.3505231598433097	0.3416828668515249	0.2514357125995981	0.3490894814666304	0.3057483783693516	0.316645956759464	0.30286260774931695	0.27028662741150866	0.3403393672548162	0.11508692948278053	0.20179488160967396	0.3282432097359442	0.23896398157751803	0.12069677236897877	0.228086697156974	0.3108948766898585	0.20955053844954982	0.19510233530852694	0.10585210099048549	0.20076370081314163	0.2542817165857108	0.4062843141008608	0.1973556114465784	0.09991323618704503	0.09176709088922012	0.5185253577990085	0.4972503738798963	0.2887059686009322	0.2299325133014869	0.36874755094624123	0.10755704635069882	0.18999806528279548
10N2	0.30278235334854736	0.0	0.2691178440911336	0.3982465231373755	0.38789871954351046	0.30256572877663573	0.34790292513728743	0.2291003101625202	0.35803134269346526	0.3412507060737675	0.3170788429948311	0.1516416683644219	0.26720764164072697	0.3760536964799744	0.36251741450365815	0.26187116278211936	0.32407468672984735	0.3603767212880975	0.36567976725258056	0.2694658671492801	0.293671779372728	0.2613966720732486	0.2903158885741068	0.3020260898616583	0.22696880235279743	0.26466229476912306	0.28992384657384423	0.2702587678191674	0.5002364912048842	0.224271497794497	0.3362373866538651	0.2729565645830093	0.41472445703697824	0.2647516794574577	0.2631098056223957
10N3	0.08422789834273237	0.2691178440911336	0.0	0.34875546005421326	0.3359485022374304	0.24378286653386677	0.3275876565914592	0.27599180926167505	0.31565133186721345	0.3156126813176744	0.2610202617219171	0.2959285757858355	0.11868693973215365	0.23778052735104155	0.3316035691698779	0.2038982516670543	0.11032451913624994	0.21594709852797017	0.29867078714987927	0.20819215349073555	0.18878723447643597	0.09736367235656185	0.19153991792560407	0.2523256049868106	0.3665469384037831	0.16577312260969906	0.10356872467080658	0.08894254313499957	0.5088145327009775	0.45287013120194314	0.2859688682665645	0.20562340278179891	0.36558715295619626	0.11493972828126423	0.170293643033458
12N1	0.3505231598433097	0.3982465231373755	0.34875546005421326	0.0	0.038891538311422835	0.13887929378780864	0.10726190479951592	0.1954391448098693	0.08219912158532343	0.12394624295068865	0.11394684310485347	0.2940753316338703	0.29457482850953787	0.5170751649824716	0.11461826979874482	0.27675978350478214	0.38910942696473394	0.43361592651358305	0.4082681591464154	0.17635597126220645	0.19664810339727587	0.29680136060328055	0.16858530769430216	0.15271533113555066	0.48097258407088905	0.3998162510168643	0.3054672679384551	0.30634013357864676	0.6712772819388296	0.4882508500010321	0.07544828197706491	0.3840813114865594	0.03796899720782845	0.33534661422655393	0.23074008783520583
12N2	0.3416828668515249	0.38789871954351046	0.3359485022374304	0.038891538311422835	0.0	0.15121297209607457	0.1214757498114875	0.18393625170530295	0.0693997250232446	0.11105503281790469	0.10138556733480375	0.28560411060807916	0.284134571733274	0.510604854812524	0.11538509535968634	0.2625388381459024	0.38026702955474273	0.4269665556981846	0.40027257122837784	0.1793705485841342	0.20790874310163437	0.2961648587280383	0.18686710943602725	0.14586889490091054	0.47513426121321084	0.39192982917764096	0.30333179227521095	0.30524284728593715	0.6651848878922347	0.48045186361733583	0.08825697698784654	0.37296969334433666	0.057237206825455175	0.32346881215561496	0.2238914232882251
12N3	0.2514357125995981	0.30256572877663573	0.24378286653386677	0.13887929378780864	0.15121297209607457	0.0	0.15252565934495288	0.20972039369547715	0.13473916918083614	0.12833133793951368	0.08914540436428087	0.3112766980052822	0.18874925647545457	0.40685016428959103	0.13096424683874966	0.20542435764505573	0.28285982926314507	0.3370366543786416	0.34390832969477214	0.08518560321880451	0.10654567451557609	0.18995459174256246	0.06476568867435181	0.05601307360210906	0.41342886818072383	0.29072323523430826	0.20170594275209697	0.20906289059741465	0.5622280495984596	0.46716945302589374	0.084189525258374	0.28347549056506993	0.14531434555750475	0.2402553467208241	0.13660099906466674
17N1	0.3490894814666304	0.34790292513728743	0.3275876565914592	0.10726190479951592	0.1214757498114875	0.15252565934495288	0.0	0.16147165073326306	0.129720072974758	0.15171670778932697	0.13443794720996102	0.2522943055491037	0.27722036751705004	0.516218578908784	0.15250221790881402	0.21468024673775277	0.3856038793258813	0.43335747292319704	0.40728140497713394	0.18188630893101854	0.2013279453535834	0.27608440674094425	0.17569205623320414	0.1580137120075376	0.43564608858792336	0.37941096511216693	0.3064398693379666	0.3044308363862539	0.6675679697520989	0.4420462117578238	0.10976301844640686	0.37228609409367847	0.12104864766406956	0.2907962940923333	0.23371619376988345
19N1	0.3057483783693516	0.2291003101625202	0.27599180926167505	0.1954391448098693	0.18393625170530295	0.20972039369547715	0.16147165073326306	0.0	0.19251577837349312	0.211437518285608	0.19125847680764496	0.1374353906370976	0.22527608651344835	0.476250937737844	0.20404423152552972	0.18885388754139076	0.3507405635249786	0.38275800083437966	0.3524014441992774	0.19062520720140305	0.21997797125337068	0.241900155326154	0.20919075937947978	0.21127968597999486	0.3257287475193323	0.3211489391466915	0.2653596777569196	0.268230486085547	0.6143092743128171	0.32934805916320564	0.18079749517489493	0.31431925294597174	0.2119038547326124	0.26124606290055435	0.18634028287212387
19N2	0.316645956759464	0.35803134269346526	0.31565133186721345	0.08219912158532343	0.0693997250232446	0.13473916918083614	0.129720072974758	0.19251577837349312	0.0	0.06701385890297218	0.06381246678865217	0.26550864466444846	0.2677452824507799	0.46350616359121893	0.12812197112747306	0.21890921531333893	0.329895243943658	0.37395462859580453	0.38384246058082194	0.15668254852249033	0.18745260385722318	0.27155066911732045	0.16768755860260817	0.10981435994279774	0.4266297893929007	0.3764803688096237	0.28878203038829303	0.2864784707367782	0.6176267615153639	0.45182672077926667	0.0766571185889092	0.3313444655673222	0.08953092718489432	0.31074627582002684	0.1956778149105592
19N3	0.30286260774931695	0.3412507060737675	0.3156126813176744	0.12394624295068865	0.11105503281790469	0.12833133793951368	0.15171670778932697	0.211437518285608	0.06701385890297218	0.0	0.06365003705203054	0.2978224573510975	0.2434151851399631	0.43884485298294656	0.09700637653184668	0.23248639856437134	0.34341178218566387	0.3548199462927214	0.35420240544052733	0.14334181276504157	0.18504079779693325	0.2627406976464359	0.16397729341441952	0.10099633064008152	0.4143370197782222	0.3428009351965391	0.2548993866369065	0.27280052240663477	0.5919760079064113	0.46780890275556547	0.07838679537961898	0.30837744495786157	0.1260264691789043	0.28065622133284596	0.2022172104587579
