# Constructed from biom file
#OTU ID	E7_T1_y2014_seqrunA	F10_T1_y2014_seqrunA	F2_T1_y2014_seqrunA	F3_T1_y2014_seqrunA	F4_T1_y2014_seqrunA	E2_T1_y2014_seqrunA	E5_T1_y2014_seqrunA	E9_T1_y2014_seqrunA
99a2f14a52ebf17f112cbcfe41cc8748	0.0	2.0	8.0	0.0	0.0	0.0	2.0	0.0
c10841ea0b21d804128229ee367c0918	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bfd9cc38c422f525998072a1164d543a	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0
d48b2b39c686090088d683616ec71224	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
7063ecdcb0e2f5f473a56d9f36583946	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
8f889d79ea25ec58fa0b74cda902a3c3	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
e48a6fb20346943c4f53e88e4af35b1e	0.0	0.0	1.0	4.0	1.0	2.0	0.0	0.0
276e6cb43309484150e6d6429f87ce10	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
e2c0174f206290e3431658193b72a323	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ad9d0ba01d910be24527867e5aae6134	0.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0
39467177eb5a6dc6771197105d9e4e3e	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
8ab606959ccfdb1ee894674fef435bc3	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
131fbb8932c5d40478f5d02c7199b18b	0.0	11.0	19.0	15.0	13.0	18.0	1.0	15.0
8f77512d23d87745df18f8d9f9c7730b	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0
1b942703636d8052f9eec1d4d5926175	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
7cce9337eb976e351602a77affc22ad4	123.0	378.0	5.0	408.0	329.0	205.0	73.0	58.0
adcc60e8dfd34d328e90fd7b22540ed4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
9caddb3f6b00cd4a808ff3f6f5622a1c	0.0	2.0	0.0	0.0	0.0	0.0	8.0	0.0
2a0578cf386c35d67802a3c6990249e1	25.0	51.0	0.0	0.0	0.0	0.0	142.0	60.0
b971d9f1bcbee21de4219a5cea16e14c	0.0	0.0	0.0	0.0	9.0	0.0	16.0	8.0
08cb971af25f6d2903f9eaf603743ddf	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0
21ee9975590c2227650d1491b6b5dd55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
4f6ed50cedb83ca007538d6c3da4218c	6.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
86e22307bbfdd83f9b252ebcfaaf92e0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1fd453b8fcad99ebbbbab23d54ca3a9a	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0
cfb996ac2dda5a629b88da96e2e0eeac	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
c9dff88f89e9185811f76fe26cd89b46	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0
