	b1_t1_y2017_seqrunB	b2_t1_y2017_seqrunB	b3_t1_y2017_seqrunB	b4_t1_y2017_seqrunB	e11_t1_y2017_seqrunB	e13_t1_y2017_seqrunB	e14_t1_y2017_seqrunB	e16_t1_y2017_seqrunB	e17_t1_y2017_seqrunB	e19_t1_y2017_seqrunB	e23_t1_y2017_seqrunB	e30_t1_y2017_seqrunB	f15_t1_y2017_seqrunB	f20_t1_y2017_seqrunB	f25_t1_y2017_seqrunB	f28_t1_y2017_seqrunB	f31_t1_y2017_seqrunB
b1_t1_y2017_seqrunB	0	0.2014777660369873	0.1006687954068184	0.1996500343084335	0.3277026414871216	0.2094603627920151	0.3295879364013672	0.337809145450592	0.3356628119945526	0.3264240026473999	0.3689136505126953	0.3756794631481171	0.3045471608638763	0.2207819223403931	0.2706494033336639	0.3441216945648193	0.2900746762752533
b2_t1_y2017_seqrunB	0.2014777660369873	0	0.102610170841217	0.08244726806879044	0.475806325674057	0.353108674287796	0.474700391292572	0.4818882942199707	0.4789363741874695	0.4771801233291626	0.5208113193511963	0.5216590166091919	0.4511828422546387	0.3611121773719788	0.406883031129837	0.4885676205158234	0.4326931834220886
b3_t1_y2017_seqrunB	0.1006687954068184	0.102610170841217	0	0.1748925894498825	0.3837118148803711	0.2593114078044891	0.3824751675128937	0.389662891626358	0.3867392241954803	0.3801871538162231	0.4209263324737549	0.4286951422691345	0.3560940623283386	0.2679862976074219	0.3148296475410461	0.3956848084926605	0.3419110476970673
b4_t1_y2017_seqrunB	0.1996500343084335	0.08244726806879044	0.1748925894498825	0	0.512284517288208	0.3986932635307312	0.5156368017196655	0.5257458686828613	0.5188925266265869	0.5182457566261292	0.5631527900695801	0.5666795969009399	0.4965469241142273	0.40711909532547	0.4542721509933472	0.5308432579040527	0.4802733063697815
e11_t1_y2017_seqrunB	0.3277026414871216	0.475806325674057	0.3837118148803711	0.512284517288208	0	0.1536076664924622	0.1468902826309204	0.1356443911790848	0.172107145190239	0.1441238075494766	0.1525744199752808	0.1511078923940659	0.09033904224634171	0.1461393982172012	0.2275976836681366	0.09400800615549088	0.1002786457538605
e13_t1_y2017_seqrunB	0.2094603627920151	0.353108674287796	0.2593114078044891	0.3986932635307312	0.1536076664924622	0	0.1783796846866608	0.1767417192459106	0.1962264478206635	0.1574795097112656	0.2306807041168213	0.2250871807336807	0.1571212261915207	0.1043206825852394	0.16352778673172	0.1846852600574493	0.1373259723186493
e14_t1_y2017_seqrunB	0.3295879364013672	0.474700391292572	0.3824751675128937	0.5156368017196655	0.1468902826309204	0.1783796846866608	0	0.107097752392292	0.1370777934789658	0.114295095205307	0.2121996879577637	0.2554845809936523	0.1463007628917694	0.2116059064865112	0.1759510338306427	0.1547047346830368	0.1398283243179321
e16_t1_y2017_seqrunB	0.337809145450592	0.4818882942199707	0.389662891626358	0.5257458686828613	0.1356443911790848	0.1767417192459106	0.107097752392292	0	0.05164560303092003	0.04851675033569336	0.1806894838809967	0.2197412848472595	0.1684837490320206	0.1984638273715973	0.2531719207763672	0.1814451664686203	0.1591814309358597
e17_t1_y2017_seqrunB	0.3356628119945526	0.4789363741874695	0.3867392241954803	0.5188925266265869	0.172107145190239	0.1962264478206635	0.1370777934789658	0.05164560303092003	0	0.07622550427913666	0.1955788880586624	0.2293433994054794	0.2032226026058197	0.2001000791788101	0.2843338251113892	0.2199676036834717	0.1923237293958664
e19_t1_y2017_seqrunB	0.3264240026473999	0.4771801233291626	0.3801871538162231	0.5182457566261292	0.1441238075494766	0.1574795097112656	0.114295095205307	0.04851675033569336	0.07622550427913666	0	0.1714610606431961	0.2146616727113724	0.1723048388957977	0.1913207620382309	0.2452464699745178	0.1807027012109756	0.1652763485908508
