	e11_t3_y2017_seqrunB	e13_t3_y2017_seqrunB	e14_t3_y2017_seqrunB	e16_t3_y2017_seqrunB	e17_t3_y2017_seqrunB	e19_t3_y2017_seqrunB	e23_t3_y2017_seqrunB	e30_t3_y2017_seqrunB	f15_t3_y2017_seqrunB	f20_t3_y2017_seqrunB	f21_t3_y2017_seqrunB	f25_t3_y2017_seqrunB	f28_t3_y2017_seqrunB	f3_t3_y2017_seqrunB	f31_t3_y2017_seqrunB	f4_t3_y2017_seqrunB
e11_t3_y2017_seqrunB	0.0	0.392	0.4866666666666667	0.31733333333333336	0.32666666666666666	0.6106666666666667	0.5413333333333333	0.5213333333333333	0.996	0.996	0.996	0.996	0.996	0.9933333333333333	0.996	0.996
e13_t3_y2017_seqrunB	0.392	0.0	0.35333333333333333	0.39066666666666666	0.4573333333333333	0.58	0.44133333333333336	0.5346666666666666	0.9906666666666667	0.9906666666666667	0.9906666666666667	0.9906666666666667	0.9906666666666667	0.988	0.9906666666666667	0.9906666666666667
e14_t3_y2017_seqrunB	0.4866666666666667	0.35333333333333333	0.0	0.46266666666666667	0.528	0.5026666666666667	0.6186666666666667	0.5426666666666666	0.992	0.992	0.992	0.992	0.992	0.9893333333333333	0.992	0.992
e16_t3_y2017_seqrunB	0.31733333333333336	0.39066666666666666	0.46266666666666667	0.0	0.436	0.5826666666666667	0.5173333333333333	0.3893333333333333	0.9866666666666667	0.9866666666666667	0.9866666666666667	0.9866666666666667	0.9866666666666667	0.984	0.9866666666666667	0.9866666666666667
e17_t3_y2017_seqrunB	0.32666666666666666	0.4573333333333333	0.528	0.436	0.0	0.6	0.588	0.6466666666666666	0.9906666666666667	0.9906666666666667	0.9906666666666667	0.9906666666666667	0.9906666666666667	0.988	0.9906666666666667	0.9906666666666667
e19_t3_y2017_seqrunB	0.6106666666666667	0.58	0.5026666666666667	0.5826666666666667	0.6	0.0	0.6106666666666667	0.6653333333333333	0.9786666666666667	0.9786666666666667	0.9786666666666667	0.9786666666666667	0.9786666666666667	0.976	0.9786666666666667	0.9786666666666667
e23_t3_y2017_seqrunB	0.5413333333333333	0.44133333333333336	0.6186666666666667	0.5173333333333333	0.588	0.6106666666666667	0.0	0.5253333333333333	0.9466666666666667	0.9466666666666667	0.9466666666666667	0.9466666666666667	0.9653333333333334	0.944	0.9466666666666667	0.9466666666666667
e30_t3_y2017_seqrunB	0.5213333333333333	0.5346666666666666	0.5426666666666666	0.3893333333333333	0.6466666666666666	0.6653333333333333	0.5253333333333333	0.0	0.9893333333333333	0.9893333333333333	0.9893333333333333	0.9893333333333333	0.9893333333333333	0.9866666666666667	0.9893333333333333	0.9893333333333333
f15_t3_y2017_seqrunB	0.996	0.9906666666666667	0.992	0.9866666666666667	0.9906666666666667	0.9786666666666667	0.9466666666666667	0.9893333333333333	0.0	0.5333333333333333	0.6253333333333333	0.06666666666666667	0.5626666666666666	0.428	0.4146666666666667	0.336
f20_t3_y2017_seqrunB	0.996	0.9906666666666667	0.992	0.9866666666666667	0.9906666666666667	0.9786666666666667	0.9466666666666667	0.9893333333333333	0.5333333333333333	0.0	0.7773333333333333	0.5106666666666667	0.3293333333333333	0.404	0.31866666666666665	0.476
f21_t3_y2017_seqrunB	0.996	0.9906666666666667	0.992	0.9866666666666667	0.9906666666666667	0.9786666666666667	0.9466666666666667	0.9893333333333333	0.6253333333333333	0.7773333333333333	0.0	0.604	0.8066666666666666	0.49066666666666664	0.7213333333333334	0.38133333333333336
f25_t3_y2017_seqrunB	0.996	0.9906666666666667	0.992	0.9866666666666667	0.9906666666666667	0.9786666666666667	0.9466666666666667	0.9893333333333333	0.06666666666666667	0.5106666666666667	0.604	0.0	0.54	0.4026666666666667	0.39066666666666666	0.288
f28_t3_y2017_seqrunB	0.996	0.9906666666666667	0.992	0.9866666666666667	0.9906666666666667	0.9786666666666667	0.9653333333333334	0.9893333333333333	0.5626666666666666	0.3293333333333333	0.8066666666666666	0.54	0.0	0.352	0.14933333333333335	0.5053333333333333
f3_t3_y2017_seqrunB	0.9933333333333333	0.988	0.9893333333333333	0.984	0.988	0.976	0.944	0.9866666666666667	0.428	0.404	0.49066666666666664	0.4026666666666667	0.352	0.0	0.2853333333333333	0.20933333333333334
f31_t3_y2017_seqrunB	0.996	0.9906666666666667	0.992	0.9866666666666667	0.9906666666666667	0.9786666666666667	0.9466666666666667	0.9893333333333333	0.4146666666666667	0.31866666666666665	0.7213333333333334	0.39066666666666666	0.14933333333333335	0.2853333333333333	0.0	0.37466666666666665
f4_t3_y2017_seqrunB	0.996	0.9906666666666667	0.992	0.9866666666666667	0.9906666666666667	0.9786666666666667	0.9466666666666667	0.9893333333333333	0.336	0.476	0.38133333333333336	0.288	0.5053333333333333	0.20933333333333334	0.37466666666666665	0.0
