	F1_T3_y2016_seqrunA	F10_T3_y2016_seqrunA	F2_T3_y2016_seqrunA	F3_T3_y2016_seqrunA	F4_T3_y2016_seqrunA	F5_T3_y2016_seqrunA	F6_T3_y2016_seqrunA	F7_T3_y2016_seqrunA	F8_T3_y2016_seqrunA	F9_T3_y2016_seqrunA	S1_T3_y2016_seqrunA	S10_T3_y2016_seqrunA	S3_T3_y2016_seqrunA	S4_T3_y2016_seqrunA	S5_T3_y2016_seqrunA	S6_T3_y2016_seqrunA	S7_T3_y2016_seqrunA	S8_T3_y2016_seqrunA	S9_T3_y2016_seqrunA
F1_T3_y2016_seqrunA	0	0.4546753168106079	0.4404344260692596	0.4804583191871643	0.4896500706672668	0.5869277119636536	0.4000609815120697	0.462010532617569	0.3684983849525452	0.8722370266914368	0.5001882314682007	0.4386048018932343	0.5032893419265747	0.6214946508407593	0.4802674949169159	0.4307605028152466	0.4595426917076111	0.5395514369010925	0.4046566486358643
F10_T3_y2016_seqrunA	0.4546753168106079	0	0.3518708348274231	0.2561236023902893	0.4740749001502991	0.4700285494327545	0.3518384397029877	0.3227908611297607	0.3498809933662415	0.8890033364295959	0.4199111759662628	0.3928706645965576	0.460504949092865	0.678883969783783	0.259860634803772	0.3668025135993958	0.2829916477203369	0.4936419129371643	0.2879530489444733
F2_T3_y2016_seqrunA	0.4404344260692596	0.3518708348274231	0	0.3368421196937561	0.333034873008728	0.4840726554393768	0.4595237374305725	0.3055400848388672	0.3198234438896179	0.8968365788459778	0.3258492052555084	0.4186243712902069	0.3889317214488983	0.7182056903839111	0.2886608839035034	0.2743149697780609	0.3577007651329041	0.5360763669013977	0.1998253166675568
F3_T3_y2016_seqrunA	0.4804583191871643	0.2561236023902893	0.3368421196937561	0	0.4940836727619171	0.4846934974193573	0.4142563343048096	0.3431392908096313	0.3658488094806671	0.8838604688644409	0.4252466559410095	0.4211698770523071	0.4382573366165161	0.662164568901062	0.2917863130569458	0.3206456303596497	0.2553307116031647	0.5282348990440369	0.3307084739208221
F4_T3_y2016_seqrunA	0.4896500706672668	0.4740749001502991	0.333034873008728	0.4940836727619171	0	0.6002653241157532	0.4891335070133209	0.3918177783489227	0.4163441956043243	0.8854889273643494	0.3393461108207703	0.4959121942520142	0.4441436529159546	0.713367760181427	0.4187068343162537	0.4591562747955322	0.4273544549942017	0.5994235277175903	0.3022673428058624
F5_T3_y2016_seqrunA	0.5869277119636536	0.4700285494327545	0.4840726554393768	0.4846934974193573	0.6002653241157532	0	0.568406343460083	0.5126931071281433	0.5331868529319763	0.9026950597763062	0.5290427803993225	0.5721040964126587	0.5907400250434875	0.727455735206604	0.4975763559341431	0.5372880101203918	0.5218967199325562	0.5221979022026062	0.5002797842025757
F6_T3_y2016_seqrunA	0.4000609815120697	0.3518384397029877	0.4595237374305725	0.4142563343048096	0.4891335070133209	0.568406343460083	0	0.4036074876785278	0.3986059725284576	0.864921510219574	0.5003302097320557	0.3517921268939972	0.5056830048561096	0.6432541012763977	0.4001138210296631	0.3637148439884186	0.3700677156448364	0.5590044856071472	0.412518173456192
F7_T3_y2016_seqrunA	0.462010532617569	0.3227908611297607	0.3055400848388672	0.3431392908096313	0.3918177783489227	0.5126931071281433	0.4036074876785278	0	0.2944908142089844	0.8851631879806519	0.4287733733654022	0.4042436480522156	0.3988823294639587	0.6954872012138367	0.2830520868301392	0.378063291311264	0.2950506806373596	0.5043524503707886	0.1758717447519302
F8_T3_y2016_seqrunA	0.3684983849525452	0.3498809933662415	0.3198234438896179	0.3658488094806671	0.4163441956043243	0.5331868529319763	0.3986059725284576	0.2944908142089844	0	0.8938862681388855	0.4420115947723389	0.3735853135585785	0.4334549605846405	0.674305260181427	0.3396950662136078	0.3969139158725739	0.2455713152885437	0.4798459410667419	0.2837529182434082
F9_T3_y2016_seqrunA	0.8722370266914368	0.8890033364295959	0.8968365788459778	0.8838604688644409	0.8854889273643494	0.9026950597763062	0.864921510219574	0.8851631879806519	0.8938862681388855	0	0.8807740211486816	0.8970893025398254	0.8526742458343506	0.7520711421966553	0.8968962430953979	0.892146110534668	0.8964705467224121	0.8972214460372925	0.8934996128082275
S1_T3_y2016_seqrunA	0.5001882314682007	0.4199111759662628	0.3258492052555084	0.4252466559410095	0.3393461108207703	0.5290427803993225	0.5003302097320557	0.4287733733654022	0.4420115947723389	0.8807740211486816	0	0.5353128910064697	0.495473712682724	0.6760849952697754	0.4541452825069427	0.3829945623874664	0.4801704883575439	0.5996817350387573	0.3834518194198608
S10_T3_y2016_seqrunA	0.4386048018932343	0.3928706645965576	0.4186243712902069	0.4211698770523071	0.4959121942520142	0.5721040964126587	0.3517921268939972	0.4042436480522156	0.3735853135585785	0.8970893025398254	0.5353128910064697	0	0.5128427147865295	0.6953350305557251	0.3042464852333069	0.3315820693969727	0.3330719470977783	0.5621612071990967	0.4021828174591064
S3_T3_y2016_seqrunA	0.5032893419265747	0.460504949092865	0.3889317214488983	0.4382573366165161	0.4441436529159546	0.5907400250434875	0.5056830048561096	0.3988823294639587	0.4334549605846405	0.8526742458343506	0.495473712682724	0.5128427147865295	0	0.6761563420295715	0.4367696642875671	0.4682246446609497	0.4560137391090393	0.5966070294380188	0.3342674374580383
