	S1-female-1	S1-female-2	S1-female-3	S1-male-1	S10-female-2	S10-Female-3	S10-male-1	S10-male-2-	S2-female-2	S2-male-1	S2-male-2	S2014F_E2-2-A-F	S2014F_E2-2-B-F	S2014F_E2-2-C-F	S2014F_E2-3-A-F	S2014F_E2-3-B-F	S2014F_E2-3-C-F	S2014F_E5-2-A-F	S2014F_E5-2-A-F_plate2	S2014F_E5-2-B-F	S2014F_E5-3-B-F	S2014F_E5-3-C-F	S2014F_E5-C-2-F	S2014F_E7-1-A-F	S2014F_E7-2-C-F	S2014F_E7-3-A-F	S2014F_E7-3-B-F	S2014F_E7-3-C-F	S2014F_E9-2-A-F	S2014F_E9-2-B-F	S2014F_E9-2-C-F	S2014F_E9-3-A-F	S2014F_E9-3-B-F	S2014F_E9-3-C-F	S2014m_E2-1-A-F	S2014M_E2-1-A-M	S2014m_E2-1-B-F	S2014M_E2-1-B-M	S2014m_E2-1-C-F	S2014m_E2-1-C-M	S2014m_E2-2-A-M	S2014m_E2-2-B-M	S2014m_E2-2-C-M	S2014m_E2-3-A-M	S2014m_E2-3-B-M	S2014m_E2-3-C-M	S2014m_E5-1-A-F	S2014M_E5-1-A-M	S2014m_E5-1-B-F	S2014M_E5-1-B-M	S2014m_E5-1-C-F	S2014M_E5-1-C-M	S2014m_E5-2-A-M	S2014m_E5-2-B-M	S2014m_E5-3-A-M	S2014m_E5-3-B-M	S2014m_E5-3-C-M	S2014m_E7-1-A-M	S2014m_E7-1-B-F	S2014m_E7-1-B-M	S2014m_E7-1-C-F	S2014m_E7-1-C-M	S2014m_E7-2-A-F	S2014m_E7-2-A-M	S2014m_E7-2-B-F	S2014m_E7-2-B-M	S2014m_E7-2-C-M	S2014m_E7-3-A-M	S2014M_E7-3-B-M	S2014m_E7-3-C-M	S2014M_E9-1-A-M	S2014m_E9-1-B-F	S2014M_E9-1-B-M	S2014m_E9-1-C-F	S2014M_E9-1-C-M	S2014M_E9-2-A-M	S2014m_E9-2-B-M	S2014m_E9-2-C-M	S2014m_E9-3-A-M	S2014m_E9-3-B-M	S2014m_E9-3-C-M	S2014m_E9-A-1-F	S2017t1_E11-T1a-Female	S2017t1_E11-T1a-Male	S2017t1_E11-T1b-Female	S2017t1_E11-T1b-Male	S2017t1_E13-T1a-Female	S2017t1_E13-T1a-Male	S2017t1_E13-T1b-Female	S2017t1_E13-T1b-Male	S2017t1_E14-T1a-Female	S2017t1_E14-T1a-Male	S2017t1_E14-T1b-Female	S2017t1_E14-T1b-Male	S2017t1_E16-T1a-Female	S2017t1_E16-T1b-Female	S2017t1_E17-T1a-Female	S2017t1_E17-T1a-Male	S2017t1_E17-T1b-Male	S2017t1_E19-T1a-Male	S2017t1_E19-T1b-Male	S2017t1_E23-T1a-Female	S2017t1_E23-T1a-Male	S2017t1_E23-T1b-Male	S2017t1_E30-T1a-Female	S2017t1_E30-T1a-Male	S2017t2_E11-T2a-Male_C7D5_5f	S2017t2_E11-T2a-Male	S2017t2_E11-T2b-Female	S2017t2_E11-T2b-Male	S2017t2_E13-T2a-Female	S2017t2_E13-T2a-Male	S2017t2_E13-T2b-Female	S2017t2_E13-T2b-Male	S2017t2_E14-T2a-Female	S2017t2_E14-T2a-Male	S2017t2_E14-T2b-Female	S2017t2_E14-T2b-Male	S2017t2_E16-T2a-Female	S2017t2_E16-T2a-Male	S2017t2_E16-T2b-Female	S2017t2_E16-T2b-Male	S2017t2_E17-T2a-Female	S2017t2_E17-T2a-Male	S2017t2_E17-T2b-Female	S2017t2_E17-T2b-Male	S2017t2_E19-T2a-Female	S2017t2_E19-T2a-Male	S2017t2_E19-T2b-Female	S2017t2_E19-T2b-Male	S2017t2_E23-T2a-Female	S2017t2_E23-T2a-Male	S2017t2_E23-T2b-Female	S2017t2_E23-T2b-Male	S2017t2_E30-T2a-Female	S2017t2_E30-T2a-Male	S2017t2_E30-T2b-Female	S2017t2_E30-T2b-Male	S2017t3_E11-T3a-Female	S2017t3_E11-T3a-Male	S2017t3_E16-T3b-Female	S2017t3_E16-T3b-Male	S2017t3_E17-T3a-Female	S2017t3_E17-T3a-Male	S2017t3_E30-T3b-Female	S2017t3_E30-T3b-Male	S2017t3F_E11-T3b-Female	S2017t3F_E13-T3a-Female	S2017t3F_E13-T3b-Female	S2017t3F_E14-T3a-Female	S2017t3F_E14-T3b-Female	S2017t3F_E16-T3a-Female	S2017t3F_E17-T3b-Female	S2017t3F_E19-T3a-Female	S2017t3F_E19-T3b-Female	S2017t3F_E23-T3a-Female	S2017t3F_E23-T3b-Female	S2017t3F_E30-T3a-Female	S2017t3M_E11-T3b-Male	S2017t3M_E13-T3a-Male	S2017t3M_E14-T3a-Male	S2017t3M_E14-T3b-Male	S2017t3M_E16-T3a-Male	S2017t3M_E17-T3b-Male	S2017t3M_E19-T3a-Male	S2017t3M_E19-T3b-Male	S2017t3M_E23-T3a-Male	S2017t3M_E23-T3b-Male	S2017t3M_E30-T3a-Male	S3-female-3	S3-male-1	S3-male-2	S4-male-2	S4-male-3	S5-female-1	S5-male-1	S5-male-2	S5-male-3	s6-Female-1	S6-female-2	S6-female-3	S6-male-3	S7-female-2	S7-female-3	S7-male-2	S7-male-3	S8-female-2	S8-female-3	S8-male-1	S8-male-2	S8-male-3	S9-female-1	S9-female-3	S9-male-2
S1-female-1	0	0.03400259092450142	0.05571204423904419	0.02339196763932705	0.0600535124540329	0.06664061546325684	0.04587047174572945	0.03756798058748245	0.04992442950606346	0.002543792128562927	0.02057655341923237	0.07270209491252899	0.07217932492494583	0.05832802131772041	0.05293567851185799	0.0501788966357708	0.05744734406471252	0.051051314920187	0.05451900511980057	0.08136257529258728	0.06154002249240875	0.06800341606140137	0.06165659800171852	0.07817786186933517	0.05361146107316017	0.06113908067345619	0.05756160244345665	0.06732156127691269	0.0493980199098587	0.05939360707998276	0.05287100747227669	0.05311990901827812	0.05470172315835953	0.05338861793279648	0.08146725594997406	0.08098717033863068	0.08062064647674561	0.06295331567525864	0.0808824896812439	0.05375996232032776	0.05894080549478531	0.0716586709022522	0.06851698458194733	0.05094508826732635	0.06592577695846558	0.05896139517426491	0.0523112565279007	0.06949197500944138	0.06063936278223991	0.07844925671815872	0.05085504427552223	0.06350253522396088	0.06064997613430023	0.04026660323143005	0.05698994919657707	0.07679487019777298	0.06274361163377762	0.05356844142079353	0.08215875178575516	0.06339249759912491	0.05067415907979012	0.0806749016046524	0.06896524876356125	0.07754290848970413	0.06147515401244164	0.06883172690868378	0.06781268119812012	0.05113187804818153	0.05179974064230919	0.0565127320587635	0.07171643525362015	0.07120624184608459	0.06099443137645721	0.07153576612472534	0.06774326413869858	0.08215875178575516	0.05068210884928703	0.0690670907497406	0.05518083646893501	0.05446679890155792	0.05542663484811783	0.0710216760635376	0.0763654038310051	0.0591687485575676	0.06262367218732834	0.06517915427684784	0.07447499781847	0.07216311991214752	0.0733114555478096	0.07617714256048203	0.06316282600164413	0.0297026913613081	0.03581820428371429	0.0360015295445919	0.08194711059331894	0.06682343035936356	0.05764391273260117	0.05810578912496567	0.1403380334377289	0.06872009485960007	0.06289367377758026	0.05404774472117424	0.04500448703765869	0.04663143306970596	0.05867021903395653	0.07961895316839218	0.072031170129776	0.06007611006498337	0.08029872179031372	0.08093589544296265	0.07608995586633682	0.07966522872447968	0.0667911097407341	0.08215875178575516	0.06840468198060989	0.07913254946470261	0.06046515703201294	0.04896737635135651	0.05228683352470398	0.05905048176646233	0.07171551883220673	0.0544746033847332	0.0661570280790329	0.07338957488536835	0.07189642637968063	0.06707847118377686	0.06422173976898193	0.07059933245182037	0.06438662856817245	0.07578697055578232	0.0657956600189209	0.08019369840621948	0.0782804861664772	0.07821746170520782	0.07621807605028152	0.07027842849493027	0.06140565872192383	0.05997711792588234	0.07899252325296402	0.05495408177375793	0.07288960367441177	0.07653044909238815	0.06536801159381866	0.05719830095767975	0.0621328093111515	0.06039684638381004	0.06590688228607178	0.06777551770210266	0.06611339747905731	0.06633619219064713	0.06906577944755554	0.05440451204776764	0.06443580240011215	0.06155466288328171	0.05868948996067047	0.06284566223621368	0.06058630347251892	0.05348267778754234	0.05495335534214973	0.06512408703565598	0.06985614448785782	0.06274222582578659	0.05952490866184235	0.0574285201728344	0.06101887673139572	0.0805659294128418	0.05640053749084473	0.06546361744403839	0.05706990882754326	0.07066383212804794	0.08966459333896637	0.0974852442741394	0.05571204423904419	0.06090493872761726	0.02135493792593479	0.07706411182880402	0.05401130020618439	0.06545273214578629	0.06998935341835022	0.04760392010211945	0.05988787487149239	0.07003976404666901	0.05486604198813438	0.04308151081204414	0.02196177095174789	0.0543450191617012	0.05612003803253174	0.04093427956104279	0.08024720847606659	0.04976383969187737	0.05944822728633881	0.05164383724331856	0.0664193332195282	0.09621305763721466
S1-female-2	0.03400259092450142	0	0.08971463143825531	0.01061062514781952	0.04839703440666199	0.06004327908158302	0.04925262928009033	0.004197734408080578	0.08392701297998428	0.03336112201213837	0.02298347651958466	0.08292161673307419	0.06080185249447823	0.06467094272375107	0.07831040024757385	0.07672161608934402	0.08011861145496368	0.04110721126198769	0.06717278808355331	0.08596236258745193	0.06088881194591522	0.05634694918990135	0.06960026919841766	0.08277764171361923	0.065557561814785	0.06700663268566132	0.07528111338615417	0.08050813525915146	0.07396631687879562	0.06242584809660912	0.08060100674629211	0.08189535140991211	0.08365140110254288	0.08164133876562119	0.08606705069541931	0.08558696508407593	0.08549943566322327	0.06490336358547211	0.08548226952552795	0.06762611120939255	0.06065738201141357	0.06000219658017159	0.05713949352502823	0.07624941319227219	0.06285610795021057	0.06668997555971146	0.07453077286481857	0.08285421133041382	0.08045952767133713	0.08535356074571609	0.07708772271871567	0.08039198815822601	0.05461323633790016	0.03126278519630432	0.06179433315992355	0.08139465004205704	0.06026467308402061	0.07886524498462677	0.08675854653120041	0.081919826567173	0.08101774752140045	0.08614711463451385	0.05877458304166794	0.08214268833398819	0.06026322022080421	0.06394635885953903	0.05838968604803085	0.07938459515571594	0.08058279752731323	0.08216103911399841	0.06366933882236481	0.06101559475064278	0.0671972930431366	0.06015828996896744	0.05933284014463425	0.08675854653120041	0.07712127268314362	0.07122185826301575	0.08165790885686874	0.0823710560798645	0.08437630534172058	0.0596441850066185	0.08421126008033752	0.07246938347816467	0.07202600687742233	0.06402713060379028	0.07907477766275406	0.07815910130739212	0.07791123539209366	0.08105593174695969	0.07694283127784729	0.05001027137041092	0.05071524158120155	0.05060567334294319	0.08654690533876419	0.08405535668134689	0.07317891716957092	0.08513764292001724	0.1437909305095673	0.05052611604332924	0.09062367677688599	0.0766199603676796	0.03635843098163605	0.07359553873538971	0.06054836511611938	0.08421873301267624	0.0849728137254715	0.07385611534118652	0.08577091991901398	0.0864080935716629	0.08142288774251938	0.08447437733411789	0.05919390171766281	0.08675854653120041	0.05880743637681007	0.08401133120059967	0.07381095737218857	0.04056692868471146	0.07924770563840866	0.07520414888858795	0.08015477657318115	0.07017607986927032	0.07040347158908844	0.07819874584674835	0.07438982278108597	0.07167826592922211	0.07622149586677551	0.08022543787956238	0.08054028451442719	0.08363282680511475	0.07650383561849594	0.08625932037830353	0.08396193385124207	0.08546990901231766	0.08207478374242783	0.07561136782169342	0.05721166729927063	0.06478521227836609	0.08359230309724808	0.07951387763023376	0.07836179435253143	0.08200263977050781	0.08211508393287659	0.079286128282547	0.077867291867733	0.06378833204507828	0.05868329852819443	0.06055192649364471	0.0711962878704071	0.0573323555290699	0.05767406523227692	0.07747402042150497	0.07524875551462173	0.07652150094509125	0.07421080023050308	0.09057566523551941	0.08326753228902817	0.07352457195520401	0.07702670991420746	0.05912627279758453	0.07532834261655807	0.07265032827854156	0.06413840502500534	0.08515853434801102	0.0807330384850502	0.08603813499212265	0.08413053303956985	0.09319362789392471	0.0682578980922699	0.05900735780596733	0.07623346149921417	0.08182062953710556	0.08971463143825531	0.05207535997033119	0.01348272152245045	0.06122036650776863	0.06283774226903915	0.05822915956377983	0.06133400648832321	0.04296601563692093	0.05803267657756805	0.0607910081744194	0.03500182926654816	0.07246389240026474	0.03626589104533195	0.06271665543317795	0.03033791668713093	0.04246078431606293	0.07117704302072525	0.06565496325492859	0.08717824518680573	0.07276654988527298	0.05793929845094681	0.08142084628343582
S1-female-3	0.05571204423904419	0.08971463143825531	0	0.07910399883985519	0.05617592856287956	0.0404169075191021	0.04233982786536217	0.09328001737594604	0.005996385589241982	0.0574098713696003	0.07534576207399368	0.0509495884180069	0.046649519354105	0.03626774623990059	0.03268656879663467	0.02080488577485085	0.02715258486568928	0.06623455882072449	0.02668423391878605	0.05771304294466972	0.04222937300801277	0.04784999415278435	0.0433034636080265	0.0570576973259449	0.03037851303815842	0.04278595373034477	0.04015906900167465	0.04730904474854469	0.02813212014734745	0.0390680767595768	0.01942045614123344	0.01212055049836636	0.01155986823141575	0.01537011936306953	0.05760836228728294	0.05723303183913231	0.05697112157940865	0.04373444616794586	0.05733771249651909	0.030999805778265	0.03549271076917648	0.04821058362722397	0.04992619901895523	0.02461325936019421	0.04063363745808601	0.03343158587813377	0.03234956786036491	0.04584244266152382	0.03741281852126122	0.05416737869381905	0.01967634260654449	0.04048534482717514	0.0462932288646698	0.06558205932378769	0.03355075418949127	0.05652066320180893	0.04317823797464371	0.02929371036589146	0.05787687003612518	0.03932012617588043	0.02353407070040703	0.05639303848147392	0.04629437997937202	0.05642274767160416	0.03941487520933151	0.05024094879627228	0.04562058672308922	0.02360999397933483	0.02808451652526855	0.03163743764162064	0.05312565341591835	0.04532948508858681	0.04240365326404572	0.04608931019902229	0.04464210569858551	0.05787687003612518	0.02724280022084713	0.0504763163626194	0.03054319135844707	0.02293750271201134	0.01495418976992369	0.04618576914072037	0.05303424224257469	0.03799979761242867	0.03165166452527046	0.03949983045458794	0.05040261894464493	0.04809074103832245	0.05029851570725441	0.05189525336027145	0.04964563623070717	0.05313385650515556	0.04911717027425766	0.05605529248714447	0.05766522139310837	0.04275105893611908	0.03616286441683769	0.03372584655880928	0.1212844699621201	0.1244321539998055	0.01874825358390808	0.03070865012705326	0.1000841483473778	0.02069627121090889	0.05653697997331619	0.05533706769347191	0.0638207346200943	0.05964206159114838	0.0562262088060379	0.05665402486920357	0.05349573865532875	0.05654327571392059	0.04717957973480225	0.05787687003612518	0.04773219674825668	0.05674770101904869	0.04166501760482788	0.06752800196409225	0.0271154772490263	0.0428885892033577	0.04743363708257675	0.035883828997612	0.0610758513212204	0.05248511955142021	0.05330563336610794	0.06707075983285904	0.0443662628531456	0.04631746187806129	0.04537918791174889	0.05277403816580772	0.04865578562021255	0.05591181665658951	0.05473571270704269	0.05393557995557785	0.05425620451569557	0.05317434296011925	0.04493609815835953	0.04688496515154839	0.05660766735672951	0.03076659888029099	0.04987241327762604	0.05561964958906174	0.04235082119703293	0.037137720733881	0.04017094895243645	0.03694875538349152	0.04465869069099426	0.04571521654725075	0.04752261936664581	0.0465727411210537	0.05047500878572464	0.03505384549498558	0.05471253767609596	0.04254089295864105	0.04009870812296867	0.02099829353392124	0.03735974431037903	0.02735946699976921	0.0355251245200634	0.04618635401129723	0.05126536637544632	0.04415145516395569	0.04349470883607864	0.0340188704431057	0.03926637396216393	0.05628406628966331	0.02750672213733196	0.0151529498398304	0.03084619529545307	0.04837962612509727	0.1403179168701172	0.1475062072277069	0	0.0497937984764576	0.07706697285175323	0.1327761560678482	0.02778759971261024	0.05070934072136879	0.04376564919948578	0.05117502808570862	0.03818216174840927	0.04381606727838516	0.1105780899524689	0.01912965439260006	0.05532769858837128	0.02881522476673126	0.1118320673704147	0.0486600361764431	0.1302681714296341	0.02621691860258579	0.01894363015890121	0.02050969190895557	0.04391998797655106	0.1462340205907822
S1-male-1	0.02339196763932705	0.01061062514781952	0.07910399883985519	0	0.0441102534532547	0.05069734528660774	0.03990669175982475	0.01417601760476828	0.07331638783216476	0.02275049686431885	0.02727026306092739	0.07491845637559891	0.05623605474829674	0.05440878495573997	0.0687452107667923	0.0661109983921051	0.07072765380144119	0.03694353997707367	0.05816557258367538	0.08179870247840881	0.05160262063145638	0.05206015706062317	0.06187563389539719	0.07861398905515671	0.05616660788655281	0.05865653604269028	0.0667552575469017	0.07250500470399857	0.06457535177469254	0.05303488299250603	0.07121006399393082	0.07145895808935165	0.07304078340530396	0.07172767817974091	0.08190338313579559	0.08142329752445221	0.08105677366256714	0.05833351239562035	0.08131861686706543	0.05872255936264992	0.0518987774848938	0.055715411901474	0.05257370695471764	0.06633574515581131	0.05472984537482262	0.05729902163147926	0.06479133665561676	0.07485104352235794	0.07245638221502304	0.07888538390398026	0.06769676506519318	0.07238885015249252	0.04648695886135101	0.02432334236800671	0.05240337550640106	0.07723098248243332	0.05173428729176521	0.07016818970441818	0.08259487152099609	0.07391667366027832	0.07040712237358093	0.08111102879047394	0.05302197486162186	0.07797903567552567	0.05028021335601807	0.05978269502520561	0.05186942219734192	0.06947093456983566	0.07101303339004517	0.07415787875652313	0.05950567871332169	0.0552629716694355	0.05867142230272293	0.05559251084923744	0.05179999396204948	0.08259487152099609	0.06859088689088821	0.06381212919950485	0.07282598316669464	0.07280586659908295	0.07376568764448166	0.05507839471101761	0.07680152356624603	0.06307843327522278	0.06267030537128448	0.05548213422298431	0.07491112500429153	0.07259923219680786	0.07374757528305054	0.07661325484514236	0.06893967837095261	0.04200711473822594	0.04236513003706932	0.04260250180959702	0.08238322287797928	0.07483254373073578	0.06378795206546783	0.07574668526649475	0.1402988731861115	0.05987204238772392	0.0812327116727829	0.06792291253805161	0.04235229268670082	0.06420458108186722	0.05638469383120537	0.08005507290363312	0.07662118971347809	0.06585296243429184	0.08073484897613525	0.08137201517820358	0.07652606815099716	0.08010134100914001	0.05324606224894524	0.08259487152099609	0.0524614155292511	0.07956866174936295	0.06580779701471329	0.03612426295876503	0.06915979832410812	0.06720100343227386	0.07215162366628647	0.06113208457827568	0.06596080958843231	0.07382570207118988	0.07022615522146225	0.06751459836959839	0.06821834295988083	0.07222228497266769	0.0725371390581131	0.07622309029102325	0.06850069016218185	0.08062981069087982	0.07871661335229874	0.07865358144044876	0.07665418833494186	0.0707145556807518	0.05126728862524033	0.05713020637631416	0.07942863553762436	0.07012292742729187	0.07332572340965271	0.07696657627820969	0.0741119384765625	0.07128297537565231	0.06968990713357925	0.05482036620378494	0.05055703595280647	0.05242566019296646	0.06319314986467361	0.05039291456341743	0.05263799056410789	0.06808305531740189	0.06724558770656586	0.06851834058761597	0.06620766222476959	0.08118471503257751	0.07526437938213348	0.063785120844841	0.06798270344734192	0.05036766454577446	0.07029226422309875	0.06464716047048569	0.05560801923274994	0.07576758414506912	0.07272988557815552	0.08100205659866333	0.07473958283662796	0.08380266278982162	0.0588669516146183	0.05472057685256004	0.0833459198474884	0.09116654843091965	0.07910399883985519	0.04496167972683907	0.004091765265911818	0.07011307030916214	0.05349179357290268	0.05010288208723068	0.05404609814286232	0.03532715141773224	0.04986244812607765	0.05409650504589081	0.0415915809571743	0.06185324490070343	0.02670069597661495	0.05395330116152763	0.03968384861946106	0.03279158845543861	0.07546383142471313	0.05626401305198669	0.07778728008270264	0.06302711367607117	0.0504760704934597	0.08989435434341431
S10-female-2	0.0600535124540329	0.04839703440666199	0.05617592856287956	0.0441102534532547	0	0.01575902104377747	0.01479618530720472	0.05228035151958466	0.05038831010460854	0.05984232947230339	0.07138051837682724	0.05701582133769989	0.01271921675652266	0.03321393579244614	0.0477139987051487	0.04318291321396828	0.04657989740371704	0.0283966027200222	0.03352932631969452	0.05974215269088745	0.03194381669163704	0.02166110649704933	0.04369448870420456	0.05655743926763535	0.03292790427803993	0.04075390100479126	0.04937535151839256	0.05460236594080925	0.0438971146941185	0.03270359709858894	0.04926222190260887	0.04835664480924606	0.05011270567774773	0.04896320775151253	0.05984683707356453	0.05936675146222115	0.05959364771842957	0.03865063562989235	0.05926207080483437	0.03651605919003487	0.02781257592141628	0.01356375403702259	0.02535793744027615	0.04348796233534813	0.02172926999628544	0.03315126523375511	0.04723717272281647	0.05694841220974922	0.05455374717712402	0.0594477578997612	0.04458985850214958	0.05448621511459351	0.01222170703113079	0.02565241977572441	0.02911619655787945	0.05517444387078285	0.03211814910173416	0.05226556584239006	0.06053832545876503	0.056014034897089	0.05233635753393173	0.06024131923913956	0.01722185686230659	0.0559224858880043	0.02775869332253933	0.03772615268826485	0.01920849084854126	0.04809427633881569	0.05433006957173347	0.05625525861978531	0.03744914010167122	0.01293295901268721	0.04129151254892349	0.01207566447556019	0.01850977167487144	0.06053832545876503	0.0493701696395874	0.04531607404351234	0.05562030524015427	0.05342604964971542	0.05196180194616318	0.01261674985289574	0.05830547213554382	0.04378798976540565	0.0372302383184433	0.0274515300989151	0.05285456776618958	0.05225330218672752	0.05169103294610977	0.05515012517571449	0.05103704333305359	0.04774628952145576	0.0379721075296402	0.04496428370475769	0.06032667681574821	0.05814957246184349	0.04418542981147766	0.05610929429531097	0.1231134384870529	0.09860871732234955	0.05708498135209084	0.05002027377486229	0.08475546538829803	0.04144462943077087	0.0343281477689743	0.05799852311611176	0.06073059141635895	0.05069631338119507	0.05986513569951057	0.0605023056268692	0.05551709979772568	0.05856858566403389	0.03170641139149666	0.06053832545876503	0.02304714918136597	0.05810553953051567	0.04790517687797546	0.0315481424331665	0.04696499928832054	0.04929836839437485	0.05424899235367775	0.04322946071624756	0.04449768364429474	0.05229295045137405	0.04816961660981178	0.04883545637130737	0.05031571164727211	0.05431964993476868	0.05463451147079468	0.05772704258561134	0.05059805139899254	0.06035352125763893	0.05805614218115807	0.05956410989165306	0.05616900324821472	0.04970558360219002	0.03130588307976723	0.03887942060828209	0.05737209320068359	0.04770992696285248	0.05245601013302803	0.05609685927629471	0.05620931461453438	0.0533803403377533	0.0519615150988102	0.03094353526830673	0.02571853995323181	0.02361319400370121	0.04529052600264549	0.02563857473433018	0.03176828101277351	0.04956986010074615	0.04934294894337654	0.05061571300029755	0.04830503091216087	0.05807782337069511	0.05736175552010536	0.03998585045337677	0.0500800795853138	0.03079183027148247	0.04942255839705467	0.04674454033374786	0.03638730570673943	0.0571710392832756	0.0548272430896759	0.06013234704732895	0.05371440201997757	0.05965492501854897	0.03471918404102325	0.0106103178113699	0.1246305257081985	0.129903256893158	0.05617592856287956	0.006945102009922266	0.04698235914111137	0.1096174269914627	0.02866668626666069	0.02533658593893051	0.01325138472020626	0.01244960259646177	0.02772111445665359	0.01291775144636631	0.08339887112379074	0.0389251671731472	0.03997070714831352	0.02917793951928616	0.07842053472995758	0.0198973510414362	0.1195741146802902	0.03211626037955284	0.05363953113555908	0.03922784700989723	0.01260395161807537	0.1298179030418396
S10-Female-3	0.06664061546325684	0.06004327908158302	0.0404169075191021	0.05069734528660774	0.01575902104377747	0	0.02138328179717064	0.06424101442098618	0.04207799583673477	0.06642942130565643	0.07796761393547058	0.04455817490816116	0.006232614163309336	0.01988510414958	0.03603270649909973	0.02742389775812626	0.03390365093946457	0.04035726934671402	0.02071867883205414	0.05143841728568077	0.01972381956875324	0.01407031901180744	0.03175299987196922	0.04825369641184807	0.02047025971114635	0.02853390946984291	0.03758322820067406	0.04262001812458038	0.03143947944045067	0.02024595066905022	0.03680457547307014	0.03311881422996521	0.03513092547655106	0.0354556068778038	0.05154309794306755	0.05106301978230476	0.05069649964570999	0.02797322906553745	0.05095833912491798	0.0245458260178566	0.01535493414849043	0.008003036491572857	0.01646078564226627	0.03050760366022587	0.008121478371322155	0.01930581778287888	0.03780845552682877	0.04449076578021049	0.0420961044728756	0.04852509871125221	0.03213221207261086	0.04202857241034508	0.009758680127561092	0.03464600816369057	0.01650077849626541	0.04687070474028587	0.02013580501079559	0.03980792313814163	0.05223459005355835	0.04355639964342117	0.03865904733538628	0.05075075849890709	0.00755660142749548	0.04761874675750732	0.01449949014931917	0.02942240983247757	0.008356859907507896	0.03511392325162888	0.04065275937318802	0.04379761219024658	0.02914539910852909	0.004912573844194412	0.02831114828586578	0.005672396626323462	0.006645542569458485	0.05223459005355835	0.03691251948475838	0.03345184773206711	0.04270336404442787	0.04103181883692741	0.03828448802232742	0.005873471032828093	0.04644124954938889	0.03133035078644753	0.02251665666699409	0.0149938827380538	0.0445508286356926	0.04223895445466042	0.04338729381561279	0.04625297337770462	0.04871160164475441	0.05555305629968643	0.04577887058258057	0.05277104303240776	0.05202294141054153	0.04447225481271744	0.03172777965664864	0.04365164041519165	0.1156421825289726	0.1105693802237511	0.04451804235577583	0.03756262362003326	0.09304963052272797	0.04249658435583115	0.04628881812095642	0.04969478771090508	0.06190937384963036	0.05850307643413544	0.05037456750869751	0.05101174488663673	0.04616579040884972	0.04974106699228287	0.02254425920546055	0.05223459005355835	0.01236975006759167	0.0492083914577961	0.03544751927256584	0.04291540384292603	0.03381039574742317	0.04359553009271622	0.04179134964942932	0.03077181056141853	0.04911013320088387	0.04684283211827278	0.0398658774793148	0.06079612299799919	0.03785806521773338	0.04186201095581055	0.045554269105196	0.04586281627416611	0.04381204023957253	0.05026954039931297	0.04835633188486099	0.04829329997301102	0.04629390686750412	0.04710907489061356	0.02428440749645233	0.03352472931146622	0.04906835034489632	0.03525228425860405	0.04296544566750526	0.04660629108548164	0.04375166445970535	0.04092269390821457	0.03932963684201241	0.01848588883876801	0.01326089911162853	0.01115555595606565	0.03283287212252617	0.01436776388436556	0.02227771282196045	0.03711221367120743	0.04701750725507736	0.03815807402133942	0.03584738075733185	0.04562017321586609	0.04490410909056664	0.02579192258417606	0.03762243688106537	0.01833418756723404	0.03993199020624161	0.03428690135478973	0.02754471078515053	0.04809079691767693	0.04236959666013718	0.05064177885651588	0.04125675931572914	0.04511557146906853	0.02017983794212341	0.007962718605995178	0.1340432912111282	0.1418639272451401	0.0404169075191021	0.01000495906919241	0.05478911474347115	0.1208104118704796	0.01290766894817352	0.01963374204933643	0.003348741913214326	0.02074377611279488	0.01548383012413979	0.003399158595129848	0.09228892624378204	0.03433920815587044	0.04760323092341423	0.01554138213396072	0.09038118273019791	0.02700715884566307	0.126161202788353	0.02130126394331455	0.03910017758607864	0.02477030456066132	0.003503077430650592	0.1405917257070541
