	F1_T1_y2016_seqrunA	F10_T1_y2016_seqrunA	F2_T1_y2016_seqrunA	F3_T1_y2016_seqrunA	F4_T1_y2016_seqrunA	F5_T1_y2016_seqrunA	F6_T1_y2016_seqrunA	F7_T1_y2016_seqrunA	F8_T1_y2016_seqrunA	F9_T1_y2016_seqrunA	S1_T1_y2016_seqrunA	S10_T1_y2016_seqrunA	S2_T1_y2016_seqrunA	S3_T1_y2016_seqrunA	S4_T1_y2016_seqrunA	S5_T1_y2016_seqrunA	S6_T1_y2016_seqrunA	S7_T1_y2016_seqrunA	S8_T1_y2016_seqrunA	S9_T1_y2016_seqrunA
F1_T1_y2016_seqrunA	0.0	0.39066666666666666	0.6093333333333333	0.5013333333333333	0.756	0.8466666666666667	0.5066666666666667	0.44266666666666665	0.476	0.44266666666666665	0.276	0.512	0.23333333333333334	0.596	0.4573333333333333	0.36533333333333334	0.5066666666666667	0.424	0.45066666666666666	0.432
F10_T1_y2016_seqrunA	0.39066666666666666	0.0	0.42533333333333334	0.5573333333333333	0.7706666666666667	0.8306666666666667	0.5346666666666666	0.6186666666666667	0.5493333333333333	0.5426666666666666	0.38666666666666666	0.7493333333333333	0.472	0.44	0.496	0.552	0.704	0.5773333333333334	0.6746666666666666	0.6106666666666667
F2_T1_y2016_seqrunA	0.6093333333333333	0.42533333333333334	0.0	0.62	0.8533333333333334	0.8773333333333333	0.7386666666666667	0.7773333333333333	0.444	0.54	0.6786666666666666	0.896	0.6413333333333333	0.5346666666666666	0.7733333333333333	0.7333333333333333	0.8533333333333334	0.8453333333333334	0.8813333333333333	0.8933333333333333
F3_T1_y2016_seqrunA	0.5013333333333333	0.5573333333333333	0.62	0.0	0.6666666666666666	0.796	0.656	0.4573333333333333	0.5173333333333333	0.5213333333333333	0.33866666666666667	0.5093333333333333	0.468	0.5106666666666667	0.5906666666666667	0.448	0.4493333333333333	0.536	0.43866666666666665	0.484
F4_T1_y2016_seqrunA	0.756	0.7706666666666667	0.8533333333333334	0.6666666666666666	0.0	0.668	0.8093333333333333	0.72	0.732	0.6506666666666666	0.7693333333333333	0.644	0.7626666666666667	0.56	0.7853333333333333	0.7853333333333333	0.764	0.7	0.6253333333333333	0.7706666666666667
F5_T1_y2016_seqrunA	0.8466666666666667	0.8306666666666667	0.8773333333333333	0.796	0.668	0.0	0.9013333333333333	0.8053333333333333	0.7946666666666666	0.7773333333333333	0.8746666666666667	0.7333333333333333	0.868	0.7986666666666666	0.8746666666666667	0.8746666666666667	0.852	0.8173333333333334	0.8253333333333334	0.8586666666666667
F6_T1_y2016_seqrunA	0.5066666666666667	0.5346666666666666	0.7386666666666667	0.656	0.8093333333333333	0.9013333333333333	0.0	0.5706666666666667	0.6906666666666667	0.6866666666666666	0.4533333333333333	0.7066666666666667	0.504	0.708	0.148	0.5773333333333334	0.6493333333333333	0.5226666666666666	0.6053333333333333	0.4106666666666667
F7_T1_y2016_seqrunA	0.44266666666666665	0.6186666666666667	0.7773333333333333	0.4573333333333333	0.72	0.8053333333333333	0.5706666666666667	0.0	0.62	0.608	0.43066666666666664	0.516	0.43466666666666665	0.6426666666666667	0.5373333333333333	0.4533333333333333	0.32	0.37866666666666665	0.37333333333333335	0.436
F8_T1_y2016_seqrunA	0.476	0.5493333333333333	0.444	0.5173333333333333	0.732	0.7946666666666666	0.6906666666666667	0.62	0.0	0.3546666666666667	0.5613333333333334	0.752	0.5426666666666666	0.5453333333333333	0.6706666666666666	0.6333333333333333	0.696	0.7213333333333334	0.6946666666666667	0.7186666666666667
F9_T1_y2016_seqrunA	0.44266666666666665	0.5426666666666666	0.54	0.5213333333333333	0.6506666666666666	0.7773333333333333	0.6866666666666666	0.608	0.3546666666666667	0.0	0.5573333333333333	0.668	0.5306666666666666	0.456	0.6573333333333333	0.5773333333333334	0.684	0.696	0.6053333333333333	0.716
S1_T1_y2016_seqrunA	0.276	0.38666666666666666	0.6786666666666666	0.33866666666666667	0.7693333333333333	0.8746666666666667	0.4533333333333333	0.43066666666666664	0.5613333333333334	0.5573333333333333	0.0	0.45466666666666666	0.27466666666666667	0.5546666666666666	0.3893333333333333	0.3	0.432	0.404	0.3626666666666667	0.31066666666666665
S10_T1_y2016_seqrunA	0.512	0.7493333333333333	0.896	0.5093333333333333	0.644	0.7333333333333333	0.7066666666666667	0.516	0.752	0.668	0.45466666666666666	0.0	0.48933333333333334	0.7493333333333333	0.6573333333333333	0.3373333333333333	0.3426666666666667	0.512	0.4106666666666667	0.3933333333333333
S2_T1_y2016_seqrunA	0.23333333333333334	0.472	0.6413333333333333	0.468	0.7626666666666667	0.868	0.504	0.43466666666666665	0.5426666666666666	0.5306666666666666	0.27466666666666667	0.48933333333333334	0.0	0.6173333333333333	0.484	0.32	0.4693333333333333	0.484	0.41733333333333333	0.43866666666666665
S3_T1_y2016_seqrunA	0.596	0.44	0.5346666666666666	0.5106666666666667	0.56	0.7986666666666666	0.708	0.6426666666666667	0.5453333333333333	0.456	0.5546666666666666	0.7493333333333333	0.6173333333333333	0.0	0.6653333333333333	0.644	0.752	0.7226666666666667	0.6026666666666667	0.7706666666666667
S4_T1_y2016_seqrunA	0.4573333333333333	0.496	0.7733333333333333	0.5906666666666667	0.7853333333333333	0.8746666666666667	0.148	0.5373333333333333	0.6706666666666666	0.6573333333333333	0.3893333333333333	0.6573333333333333	0.484	0.6653333333333333	0.0	0.5373333333333333	0.6266666666666667	0.484	0.5773333333333334	0.372
S5_T1_y2016_seqrunA	0.36533333333333334	0.552	0.7333333333333333	0.448	0.7853333333333333	0.8746666666666667	0.5773333333333334	0.4533333333333333	0.6333333333333333	0.5773333333333334	0.3	0.3373333333333333	0.32	0.644	0.5373333333333333	0.0	0.26666666666666666	0.4693333333333333	0.4146666666666667	0.356
S6_T1_y2016_seqrunA	0.5066666666666667	0.704	0.8533333333333334	0.4493333333333333	0.764	0.852	0.6493333333333333	0.32	0.696	0.684	0.432	0.3426666666666667	0.4693333333333333	0.752	0.6266666666666667	0.26666666666666666	0.0	0.39866666666666667	0.3586666666666667	0.33066666666666666
S7_T1_y2016_seqrunA	0.424	0.5773333333333334	0.8453333333333334	0.536	0.7	0.8173333333333334	0.5226666666666666	0.37866666666666665	0.7213333333333334	0.696	0.404	0.512	0.484	0.7226666666666667	0.484	0.4693333333333333	0.39866666666666667	0.0	0.3933333333333333	0.3586666666666667
S8_T1_y2016_seqrunA	0.45066666666666666	0.6746666666666666	0.8813333333333333	0.43866666666666665	0.6253333333333333	0.8253333333333334	0.6053333333333333	0.37333333333333335	0.6946666666666667	0.6053333333333333	0.3626666666666667	0.4106666666666667	0.41733333333333333	0.6026666666666667	0.5773333333333334	0.4146666666666667	0.3586666666666667	0.3933333333333333	0.0	0.3373333333333333
S9_T1_y2016_seqrunA	0.432	0.6106666666666667	0.8933333333333333	0.484	0.7706666666666667	0.8586666666666667	0.4106666666666667	0.436	0.7186666666666667	0.716	0.31066666666666665	0.3933333333333333	0.43866666666666665	0.7706666666666667	0.372	0.356	0.33066666666666666	0.3586666666666667	0.3373333333333333	0.0
