	E7_T1_y2014_seqrunA	F10_T1_y2014_seqrunA	F2_T1_y2014_seqrunA	F3_T1_y2014_seqrunA	F4_T1_y2014_seqrunA	E2_T1_y2014_seqrunA	E5_T1_y2014_seqrunA	E9_T1_y2014_seqrunA
E7_T1_y2014_seqrunA	0	0.236684650182724	0.3220460712909698	0.4530153870582581	0.3608693480491638	0.2482998073101044	0.2454681247472763	0.4803296625614166
F10_T1_y2014_seqrunA	0.236684650182724	0	0.3706385791301727	0.398390144109726	0.3652003407478333	0.3001259863376617	0.266543984413147	0.5331006050109863
F2_T1_y2014_seqrunA	0.3220460712909698	0.3706385791301727	0	0.4057823121547699	0.2418839484453201	0.2203364074230194	0.3950943350791931	0.4382287561893463
F3_T1_y2014_seqrunA	0.4530153870582581	0.398390144109726	0.4057823121547699	0	0.2857179045677185	0.3696862459182739	0.4236705303192139	0.5955746173858643
F4_T1_y2014_seqrunA	0.3608693480491638	0.3652003407478333	0.2418839484453201	0.2857179045677185	0	0.2624278366565704	0.4059401154518127	0.4880578219890594
E2_T1_y2014_seqrunA	0.2482998073101044	0.3001259863376617	0.2203364074230194	0.3696862459182739	0.2624278366565704	0	0.3379472196102142	0.4667565226554871
E5_T1_y2014_seqrunA	0.2454681247472763	0.266543984413147	0.3950943350791931	0.4236705303192139	0.4059401154518127	0.3379472196102142	0	0.530556321144104
E9_T1_y2014_seqrunA	0.4803296625614166	0.5331006050109863	0.4382287561893463	0.5955746173858643	0.4880578219890594	0.4667565226554871	0.530556321144104	0
