	F1_T2_y2016_seqrunA	F10_T2_y2016_seqrunA	F2_T2_y2016_seqrunA	F3_T2_y2016_seqrunA	F4_T2_y2016_seqrunA	F5_T2_y2016_seqrunA	F6_T2_y2016_seqrunA	F7_T2_y2016_seqrunA	F8_T2_y2016_seqrunA	F9_T2_y2016_seqrunA	S1_T2_y2016_seqrunA	S10_T2_y2016_seqrunA	S2_T2_y2016_seqrunA	S3_T2_y2016_seqrunA	S4_T2_y2016_seqrunA	S5_T2_y2016_seqrunA	S6_T2_y2016_seqrunA	S7_T2_y2016_seqrunA	S8_T2_y2016_seqrunA	S9_T2_y2016_seqrunA
F1_T2_y2016_seqrunA	0	0.09930947422981262	0.1714658588171005	0.1793301403522491	0.06669093668460846	0.1101426035165787	0.2859079539775848	0.07928963005542755	0.1633818596601486	0.2526602447032928	0.1447050422430038	0.1632451415061951	0.4192825555801392	0.4239656925201416	0.4308120608329773	0.07808393985033035	0.157420814037323	0.1843512654304504	0.1339920908212662	0.2420382499694824
F10_T2_y2016_seqrunA	0.09930947422981262	0	0.183505654335022	0.1297495812177658	0.1140103787183762	0.08415428549051285	0.2505040466785431	0.05472734943032265	0.09660910069942474	0.2269141376018524	0.08468519896268845	0.1058080643415451	0.3632921278476715	0.3454828560352325	0.355917364358902	0.09446217119693756	0.1088051870465279	0.2168729454278946	0.1031823083758354	0.1575282067060471
F2_T2_y2016_seqrunA	0.1714658588171005	0.183505654335022	0	0.1780645847320557	0.1752886027097702	0.1691823154687881	0.2622199952602386	0.1868556439876556	0.1848573386669159	0.2452030926942825	0.1882715225219727	0.1912412494421005	0.3770590126514435	0.3898719847202301	0.3936140239238739	0.1745260953903198	0.151272788643837	0.303074449300766	0.1362143158912659	0.2501169443130493
F3_T2_y2016_seqrunA	0.1793301403522491	0.1297495812177658	0.1780645847320557	0	0.1913515627384186	0.1862283647060394	0.1514143943786621	0.1192416399717331	0.09216348826885223	0.222541019320488	0.1365303546190262	0.07536998391151428	0.2886772751808167	0.2897836863994598	0.2989577651023865	0.143120065331459	0.1743472069501877	0.2574442327022552	0.1520090848207474	0.1445433497428894
F4_T2_y2016_seqrunA	0.06669093668460846	0.1140103787183762	0.1752886027097702	0.1913515627384186	0	0.1080560609698296	0.2520162761211395	0.09883176535367966	0.1821189373731613	0.2672506868839264	0.1409498751163483	0.1809667944908142	0.3968170583248138	0.4388338923454285	0.4491468369960785	0.0849543958902359	0.1468484997749329	0.2062833160161972	0.1178677380084991	0.2551093995571136
F5_T2_y2016_seqrunA	0.1101426035165787	0.08415428549051285	0.1691823154687881	0.1862283647060394	0.1080560609698296	0	0.2908231616020203	0.1091061159968376	0.1656867116689682	0.2712956368923187	0.0823696032166481	0.1430734544992447	0.3898245394229889	0.3860097825527191	0.3914728462696075	0.1278747171163559	0.07950269430875778	0.2213373780250549	0.08709115535020828	0.205374538898468
F6_T2_y2016_seqrunA	0.2859079539775848	0.2505040466785431	0.2622199952602386	0.1514143943786621	0.2520162761211395	0.2908231616020203	0	0.2343385964632034	0.1936624944210052	0.2675896883010864	0.2403609752655029	0.1752826124429703	0.2969688177108765	0.3484444320201874	0.3565625548362732	0.2407981753349304	0.2816322147846222	0.3303514719009399	0.2463198602199554	0.232522651553154
F7_T2_y2016_seqrunA	0.07928963005542755	0.05472734943032265	0.1868556439876556	0.1192416399717331	0.09883176535367966	0.1091061159968376	0.2343385964632034	0	0.1004067063331604	0.2216956913471222	0.1157884150743484	0.1109777390956879	0.3637360632419586	0.3598618507385254	0.3682717382907867	0.05769934132695198	0.1500199288129807	0.1898647248744965	0.1190253347158432	0.1800450831651688
F8_T2_y2016_seqrunA	0.1633818596601486	0.09660910069942474	0.1848573386669159	0.09216348826885223	0.1821189373731613	0.1656867116689682	0.1936624944210052	0.1004067063331604	0	0.1928467154502869	0.1234864592552185	0.1025498807430267	0.3283894062042236	0.2865820527076721	0.3205865919589996	0.1458093523979187	0.141411617398262	0.2738467454910278	0.1673171669244766	0.1136344447731972
F9_T2_y2016_seqrunA	0.2526602447032928	0.2269141376018524	0.2452030926942825	0.222541019320488	0.2672506868839264	0.2712956368923187	0.2675896883010864	0.2216956913471222	0.1928467154502869	0	0.2931519746780396	0.2621313333511353	0.4167963564395905	0.3232071995735168	0.4024287164211273	0.1988392621278763	0.2315239757299423	0.3049933314323425	0.2745397984981537	0.2476089298725128
