	E2_T2_y2014_seqrunA	E5_T2_y2014_seqrunA	E7_T2_y2014_seqrunA	E9_T2_y2014_seqrunA	F10_T2_y2014_seqrunA	F2_T2_y2014_seqrunA	F3_T2_y2014_seqrunA	F4_T2_y2014_seqrunA
E2_T2_y2014_seqrunA	0.0	0.5426666666666666	0.64	0.6826666666666666	0.5013333333333333	0.3253333333333333	0.6426666666666667	0.62
E5_T2_y2014_seqrunA	0.5426666666666666	0.0	0.6333333333333333	0.688	0.524	0.504	0.5906666666666667	0.652
E7_T2_y2014_seqrunA	0.64	0.6333333333333333	0.0	0.5666666666666667	0.532	0.636	0.6413333333333333	0.6466666666666666
E9_T2_y2014_seqrunA	0.6826666666666666	0.688	0.5666666666666667	0.0	0.6426666666666667	0.668	0.732	0.64
F10_T2_y2014_seqrunA	0.5013333333333333	0.524	0.532	0.6426666666666667	0.0	0.37733333333333335	0.548	0.5413333333333333
F2_T2_y2014_seqrunA	0.3253333333333333	0.504	0.636	0.668	0.37733333333333335	0.0	0.6253333333333333	0.456
F3_T2_y2014_seqrunA	0.6426666666666667	0.5906666666666667	0.6413333333333333	0.732	0.548	0.6253333333333333	0.0	0.6773333333333333
F4_T2_y2014_seqrunA	0.62	0.652	0.6466666666666666	0.64	0.5413333333333333	0.456	0.6773333333333333	0.0
