	E2_T2_y2014_seqrunA	E5_T2_y2014_seqrunA	E7_T2_y2014_seqrunA	E9_T2_y2014_seqrunA	F10_T2_y2014_seqrunA	F2_T2_y2014_seqrunA	F3_T2_y2014_seqrunA	F4_T2_y2014_seqrunA
E2_T2_y2014_seqrunA	0	0.2498048841953278	0.251440703868866	0.2883883416652679	0.1955270320177078	0.1035327464342117	0.2289169430732727	0.2042239904403687
E5_T2_y2014_seqrunA	0.2498048841953278	0	0.1665396094322205	0.2711687684059143	0.1460479199886322	0.1891657710075378	0.1809503734111786	0.1193458512425423
E7_T2_y2014_seqrunA	0.251440703868866	0.1665396094322205	0	0.1695412695407867	0.1421279907226562	0.2240188419818878	0.2260741293430328	0.1504778563976288
E9_T2_y2014_seqrunA	0.2883883416652679	0.2711687684059143	0.1695412695407867	0	0.2174554467201233	0.2677991688251495	0.2974627614021301	0.2501482963562012
F10_T2_y2014_seqrunA	0.1955270320177078	0.1460479199886322	0.1421279907226562	0.2174554467201233	0	0.1598137021064758	0.175721675157547	0.1294959038496017
F2_T2_y2014_seqrunA	0.1035327464342117	0.1891657710075378	0.2240188419818878	0.2677991688251495	0.1598137021064758	0	0.1621932983398438	0.1345114260911942
F3_T2_y2014_seqrunA	0.2289169430732727	0.1809503734111786	0.2260741293430328	0.2974627614021301	0.175721675157547	0.1621932983398438	0	0.1566860377788544
F4_T2_y2014_seqrunA	0.2042239904403687	0.1193458512425423	0.1504778563976288	0.2501482963562012	0.1294959038496017	0.1345114260911942	0.1566860377788544	0
